LOOP,LINE,FID,EAST,NORTH,TER,ALT,PITCH,MAG,HCP106140Hz_IP,HCP106140Hz_OP,HCP25380Hz_IP,HCP25380Hz_OP,HCP6135Hz_IP,HCP6135Hz_OP,HCP1518Hz_IP,HCP1518Hz_OP,HCP385Hz_IP,HCP385Hz_OP,VCA3323Hz_IP,VCA3323Hz_OP
1,31063,1824,479893.2,6201930.0,33.6,34.7,0.0,0.000000,1866.095,292.5623,1612.703,352.5915,1225.777,458.8937,771.6509,388.6636,514.0937,290.6279,371.1629,165.7488
1,31063,1834,479892.8,6201962.0,34.8,32.5,0.0,0.000000,1997.782,378.5972,1666.007,416.2930,1241.536,471.5609,807.5480,389.5222,538.9456,297.4723,379.7766,164.4897
1,31063,1844,479892.9,6201994.0,36.9,29.8,0.0,0.000000,2112.581,429.6569,1760.794,446.2787,1292.418,520.1691,830.9352,405.9575,557.3378,315.2399,390.3910,176.0224
1,31063,1854,479893.0,6202026.0,36.8,30.0,0.0,0.000000,2180.234,451.8825,1809.474,457.1705,1344.572,537.4830,847.7720,432.8492,557.9277,322.2303,404.6670,185.9948
1,31063,1864,479893.2,6202058.0,36.6,30.4,0.0,0.000000,2183.090,438.7008,1831.208,452.0237,1356.023,553.0591,838.9228,441.9784,547.9512,321.9865,404.7574,191.8172
1,31063,1874,479893.2,6202090.0,37.2,30.1,0.0,0.000000,2243.514,459.5187,1867.518,476.7563,1370.398,567.4498,845.8383,452.6203,546.9719,327.5577,409.1007,195.7423
1,31063,1884,479893.0,6202121.5,38.0,29.4,0.0,0.000000,2377.234,505.3708,1959.226,521.0361,1422.765,602.3621,871.2697,478.7037,555.9633,341.4935,423.8596,206.6368
1,31063,1894,479892.6,6202152.5,38.3,29.3,0.0,0.000000,2465.523,531.0413,2035.117,542.7632,1464.827,646.7180,866.4141,505.3252,545.8218,343.7314,430.3529,221.6813
1,31063,1904,479892.1,6202184.0,38.5,29.8,0.0,0.000000,2462.351,525.2925,2029.876,544.6647,1448.999,657.5510,841.1406,504.6991,528.6189,335.1140,422.1164,224.4808
1,31063,1914,479891.9,6202215.5,38.9,30.9,0.0,0.000000,2231.370,468.9991,1848.980,496.2837,1303.326,598.3373,768.7381,443.4422,495.8711,300.5274,380.3969,200.4277
1,31063,1924,479892.5,6202247.5,40.0,31.5,0.0,0.000000,2002.234,448.5095,1640.827,459.1115,1154.229,520.6204,695.2203,388.4731,456.6525,267.9005,341.2924,174.4928
1,31063,1934,479893.8,6202279.5,41.5,31.8,0.0,0.000000,1884.252,489.1437,1475.345,467.8650,1026.024,458.6373,641.5230,341.7706,422.8625,249.3111,308.8728,151.9131
1,31063,1944,479895.6,6202311.5,43.6,31.2,0.0,0.000000,1758.289,550.2829,1327.317,464.9391,922.3503,417.4669,580.2966,294.0543,406.0897,214.3323,277.0522,136.5928
1,31063,1954,479897.7,6202343.5,45.4,29.9,0.0,0.000000,1592.748,612.5217,1164.438,433.4763,815.5772,366.4702,535.3239,256.9907,366.6939,192.8460,248.4261,116.7308
1,31063,1964,479899.7,6202374.5,45.5,29.3,0.0,0.000000,1581.305,647.6462,1150.101,441.1276,800.4686,358.7987,536.5583,248.8520,370.8256,190.0216,245.8736,112.5375
1,31063,1974,479901.5,6202404.0,43.8,30.4,0.0,0.000000,1631.027,612.6622,1181.080,438.8030,840.2572,366.5398,551.0341,262.6640,379.3824,197.6939,256.4956,118.9112
1,31063,1984,479902.6,6202434.0,41.2,32.7,0.0,0.000000,1646.398,474.3924,1258.832,418.7267,891.0462,377.4219,575.3603,283.3095,396.8901,208.3394,272.6154,126.0011
1,31063,1994,479902.9,6202465.0,39.0,34.3,0.0,0.000000,1570.302,355.0293,1268.619,362.1771,907.4961,371.5385,591.4167,286.5005,402.6992,212.8917,278.2935,124.5331
1,31063,2004,479902.5,6202496.5,37.7,35.0,0.0,0.000000,1600.593,298.2597,1351.094,344.4520,954.8168,410.1910,610.9726,293.3213,425.1355,217.6382,286.3838,133.7795
1,31063,2014,479902.1,6202529.5,37.8,33.9,0.0,0.000000,1785.817,303.2450,1530.658,377.0010,1069.408,486.7924,650.2648,342.8323,441.6315,239.8687,313.3485,159.2991
1,31063,2024,479901.9,6202562.5,38.8,30.8,0.0,0.000000,2024.584,340.1920,1754.388,435.3554,1203.573,571.2890,706.9517,403.5554,466.4588,272.2350,348.8374,187.3303
1,31063,2034,479902.6,6202596.0,38.5,30.4,0.0,0.000000,2128.994,337.2465,1868.461,455.9522,1252.421,619.7725,737.1441,412.5096,496.9615,284.0858,359.3577,196.7262
1,31063,2044,479903.9,6202629.5,37.3,32.0,0.0,0.000000,2134.440,316.3912,1857.308,465.7427,1235.303,620.4308,731.8754,394.3961,508.1294,278.7414,352.3862,193.7568
1,31063,2054,479905.3,6202663.0,36.9,32.6,0.0,0.000000,2020.372,319.8898,1739.939,435.3058,1184.670,569.2121,710.7116,378.6187,488.1383,271.5279,341.9056,181.4572
1,31063,2064,479906.4,6202695.5,37.1,32.5,0.0,0.000000,2046.124,311.4791,1777.743,419.1273,1249.480,574.8505,739.8108,404.0454,499.3283,281.9127,360.8836,189.7872
1,31063,2074,479907.0,6202727.0,37.6,32.0,0.0,0.000000,2041.463,316.2948,1776.284,396.7834,1290.686,561.3509,765.3921,421.2155,507.0573,290.2325,375.8659,191.7786
1,31063,2084,479907.3,6202758.0,37.9,32.6,0.0,0.000000,1935.519,301.8743,1688.311,365.7289,1247.573,524.9759,742.7801,409.2393,486.8774,283.0709,365.7186,182.9118
1,31063,2094,479907.0,6202789.5,38.2,33.1,0.0,0.000000,1848.206,280.5107,1622.372,343.5097,1200.572,505.0968,711.1444,395.6522,465.4002,269.9958,351.7663,176.6918
1,31063,2104,479906.3,6202821.0,38.4,32.9,0.0,0.000000,1808.535,260.3701,1615.005,330.6688,1175.000,514.2038,688.4767,384.6153,457.3005,261.8372,340.7417,176.2011
1,31063,2114,479905.5,6202852.5,38.1,32.3,0.0,0.000000,1853.126,284.0453,1635.893,348.3484,1196.711,513.0064,707.4008,396.2918,462.2529,269.7367,350.1046,177.6497
1,31063,2124,479905.0,6202885.0,37.2,32.1,0.0,0.000000,1940.422,297.5933,1706.395,364.1494,1251.507,536.7166,737.8555,414.9353,479.0520,281.7319,365.3173,186.0559
1,31063,2134,479905.0,6202918.5,36.2,32.5,0.0,0.000000,1938.349,284.1537,1702.664,365.5134,1243.130,537.1586,734.4861,407.0797,483.7555,277.6479,362.0146,184.7343
1,31063,2144,479905.4,6202952.0,35.6,33.2,0.0,0.000000,1897.027,277.9434,1661.338,370.0886,1191.477,529.2214,707.7567,384.7762,474.7728,266.9653,345.9826,178.1161
1,31063,2154,479906.0,6202986.0,35.6,33.3,0.0,0.000000,1894.021,290.8520,1645.394,385.9085,1157.348,528.0605,692.9423,370.7598,471.0366,259.7873,335.9667,173.8815
1,31063,2164,479906.5,6203019.0,36.6,32.4,0.0,0.000000,1893.295,329.6347,1625.838,397.3248,1140.436,513.2472,699.3686,363.4671,476.7469,260.0880,335.1085,167.7888
1,31063,2174,479906.9,6203052.0,38.4,30.6,0.0,0.000000,1765.231,347.0635,1486.735,373.7041,1077.866,461.0909,643.7582,354.3154,432.5581,249.8155,318.5513,160.3265
1,31063,2184,479906.8,6203084.0,38.6,31.5,0.0,0.000000,1722.028,321.8310,1455.002,363.6993,1051.465,457.1099,618.1970,348.4026,414.4872,240.3426,308.7504,159.1488
1,31063,2194,479906.3,6203115.5,37.9,33.1,0.0,0.000000,1686.111,299.6443,1451.411,354.0094,1029.122,451.1568,627.2251,334.9559,422.8241,235.9668,304.8667,151.5548
1,31063,2204,479905.5,6203147.0,36.8,34.8,0.0,0.000000,1569.636,261.7440,1366.832,311.3243,986.3962,419.9009,606.3167,315.1310,410.5658,222.6033,292.7343,142.1413
1,31063,2214,479904.6,6203179.0,35.8,36.4,0.0,0.000000,1478.140,224.5752,1293.787,292.0302,921.6213,399.0443,574.4917,283.7397,399.9598,206.0305,272.7267,131.6249
1,31063,2224,479903.7,6203211.5,35.5,36.6,0.0,0.000000,1503.348,231.6969,1302.180,316.1578,900.1245,405.9285,567.5045,272.5467,403.6343,202.2399,266.0371,129.4804
1,31063,2234,479903.2,6203244.5,35.9,36.5,0.0,0.000000,1571.839,248.9682,1353.597,340.6411,921.2861,430.7833,573.1981,282.1489,407.3841,207.0769,270.0860,136.0091
1,31063,2244,479903.2,6203277.5,37.8,32.8,0.0,0.000000,1752.899,276.8223,1528.428,404.2494,989.3829,495.9671,604.8488,317.5602,422.6891,225.7376,288.6237,153.1793
1,31063,2254,479903.4,6203310.5,39.0,30.4,0.0,0.000000,2023.430,362.6691,1713.054,495.5988,1100.491,568.1102,650.9190,367.3924,444.4785,250.6467,317.9617,177.6013
1,31063,2264,479903.4,6203343.5,39.1,30.5,0.0,0.000000,2125.551,397.6832,1776.318,529.6288,1131.526,607.1947,645.2697,386.9223,435.4045,251.7438,321.7552,190.1899
1,31063,2274,479903.0,6203376.5,38.7,30.8,0.0,0.000000,2249.124,433.9797,1850.593,591.2986,1134.942,646.5156,640.8735,393.4817,434.1527,254.0719,320.0145,197.2928
1,31063,2284,479902.6,6203409.5,37.9,31.8,0.0,0.000000,2296.545,429.1261,1911.300,584.2418,1181.117,672.8284,663.5438,411.0583,444.6673,263.8133,331.6004,205.0281
1,31063,2294,479902.0,6203442.5,37.4,32.6,0.0,0.000000,2198.041,390.6375,1847.080,546.9665,1148.128,645.3000,655.1981,392.0419,442.6647,253.9971,323.3624,195.7229
1,31063,2304,479901.4,6203475.5,37.1,33.0,0.0,0.000000,2136.542,349.0034,1831.710,504.4534,1163.162,636.5154,663.7659,391.8708,447.6862,254.6494,327.1093,195.1654
1,31063,2314,479900.7,6203508.5,36.7,33.1,0.0,0.000000,2147.990,334.8286,1864.302,476.0336,1226.798,647.5554,685.5723,415.7546,456.2052,264.7717,343.3759,204.7755
1,31063,2324,479900.0,6203542.0,36.4,33.5,0.0,0.000000,2095.774,310.5495,1839.236,442.6109,1236.630,636.2164,688.1880,416.5017,454.9316,268.4226,345.6554,204.4487
1,31063,2334,479899.7,6203576.5,36.8,33.8,0.0,0.000000,2033.517,267.1436,1820.426,415.7385,1219.798,635.0706,668.5062,410.6255,447.9897,258.9489,338.3326,203.8465
1,31063,2344,479899.6,6203610.5,38.2,33.3,0.0,0.000000,2031.956,319.5669,1769.083,432.6924,1199.149,605.5243,668.3331,409.8326,438.5192,259.9912,338.0903,197.2686
1,31063,2354,479899.6,6203644.5,40.5,30.6,0.0,0.000000,2061.023,433.4331,1709.327,483.8789,1163.514,593.2856,629.4567,403.9394,415.6896,251.2626,326.4920,197.4875
1,31063,2364,479899.5,6203678.0,41.7,29.4,0.0,0.000000,2063.120,500.1225,1669.802,491.9909,1144.114,587.2069,623.5782,388.7383,420.7896,247.1872,319.9155,193.4494
1,31063,2374,479899.2,6203711.0,39.7,32.7,0.0,0.000000,1865.495,395.0520,1537.619,439.4677,1049.124,521.8142,583.3600,360.5028,389.1356,230.4920,298.7741,173.9807
1,31063,2384,479898.6,6203744.5,37.6,35.9,0.0,0.000000,1628.073,270.9076,1399.481,351.3770,958.5989,457.0139,566.0935,314.8865,384.2416,211.5377,277.9840,149.0029
1,31063,2394,479898.0,6203777.5,36.4,37.6,0.0,0.000000,1494.202,190.8682,1346.992,290.9489,931.4763,441.1108,549.8060,291.8885,386.8062,198.0181,267.0903,142.7707
1,31063,2404,479897.5,6203810.5,36.0,37.2,0.0,0.000000,1505.147,194.4399,1352.222,285.8457,955.7819,434.0022,570.9670,296.9258,399.6654,206.4667,276.2175,142.9169
1,31063,2414,479897.1,6203843.5,35.9,36.9,0.0,0.000000,1530.299,201.9060,1368.942,291.8258,972.6539,437.3366,580.1930,305.4654,402.0646,210.3001,281.8266,145.2807
1,31063,2424,479896.8,6203877.5,36.2,36.5,0.0,0.000000,1567.935,212.6653,1395.405,309.2771,975.8900,450.1763,580.6213,309.4125,401.3947,211.3852,282.2357,147.6799
1,31063,2434,479896.7,6203912.0,37.2,35.5,0.0,0.000000,1684.738,234.8339,1494.185,344.6755,1021.283,493.1005,599.1028,329.3392,410.6380,221.0632,292.8027,159.0490
1,31063,2444,479896.9,6203946.5,38.7,34.2,0.0,0.000000,1819.325,267.5915,1596.807,389.9250,1070.579,537.2054,613.8063,357.7882,410.6266,231.9190,304.8923,172.6648
1,31063,2454,479897.0,6203980.5,40.5,33.3,0.0,0.000000,1803.945,279.3481,1575.643,388.4343,1062.664,538.2714,584.9846,363.5445,389.9687,229.0021,299.4961,177.1195
1,31063,2464,479897.1,6204013.5,40.9,34.1,0.0,0.000000,1691.610,263.7255,1474.464,348.7375,1035.038,492.9959,568.4174,355.7039,372.7362,219.5879,294.1904,169.0815
1,31063,2474,479897.0,6204045.5,39.8,36.0,0.0,0.000000,1607.560,208.1938,1444.688,299.9192,1040.498,474.5557,576.2773,356.9945,373.5809,224.1953,297.4497,165.6369
1,31063,2484,479896.6,6204077.0,38.9,36.9,0.0,0.000000,1560.221,182.0720,1429.349,262.4659,1069.363,458.7654,591.4659,368.6735,375.6540,229.9966,307.4635,166.4520
1,31063,2494,479895.9,6204108.5,38.8,37.4,0.0,0.000000,1526.553,192.9020,1377.959,252.2912,1066.525,422.9297,601.2115,373.0710,369.9114,233.4417,312.7812,160.4528
1,31063,2504,479895.1,6204140.0,39.4,37.2,0.0,0.000000,1528.797,200.4034,1371.466,257.3136,1062.598,418.5566,599.4381,374.0872,367.4452,232.9845,312.7199,159.7325
