LOOP,LINE,FID,EAST,NORTH,TER,ALT,PITCH,MAG,EM1_Z01,EM1_Z02,EM1_Z03,EM1_Z04,EM1_Z05,EM1_Z06,EM1_Z07,EM1_Z08,EM1_Z09,EM1_Z10
1,11250,477,734927.9,7171780.5,576.6,97.7,0.0,54808.08,124115.2,88206.80,73272.23,64103.80,54739.72,44069.66,32195.09,19924.83,8132.001,0.000000
1,11250,481,734928.1,7171726.5,576.4,98.8,0.0,54814.25,110078.7,94768.16,81184.11,69230.97,58009.62,46188.01,33470.07,20560.08,8347.889,0.000000
1,11250,485,734928.5,7171670.5,576.8,97.4,0.0,54822.12,116800.1,79423.52,69752.59,62275.39,53602.73,43367.86,31810.02,19768.04,8094.156,0.000000
1,11250,489,734929.2,7171614.5,578.3,96.9,0.0,54831.38,125250.6,77982.59,61753.18,50436.03,41355.47,33042.23,24552.01,15753.83,6561.957,0.000000
1,11250,493,734930.2,7171558.5,580.0,96.7,0.0,54840.93,141229.9,84447.77,65405.84,53187.18,43109.39,34097.38,25159.58,16063.26,6680.696,0.000000
1,11250,497,734931.3,7171502.5,581.6,96.4,0.0,54849.65,146697.4,90542.77,71965.75,59964.01,48989.96,38828.00,28766.39,18177.90,7257.656,0.000000
1,11250,501,734932.5,7171446.5,582.7,95.9,0.0,54859.90,137846.0,89048.14,69169.19,55801.29,44731.99,35069.19,25723.40,16352.83,6789.691,0.000000
1,11250,505,734933.6,7171390.5,583.1,95.5,0.0,54872.48,132415.0,81491.86,55505.50,42550.64,33229.20,25632.63,19078.69,12300.72,4958.436,0.000000
1,11250,509,734934.6,7171334.5,582.5,95.7,0.0,54884.95,128314.1,76607.17,47769.54,30884.63,22644.58,17638.71,12965.08,8229.772,3519.671,0.000000
1,11250,513,734935.2,7171278.5,581.4,94.9,0.0,54898.20,127207.3,69927.22,41711.71,27190.08,18650.45,13219.09,9575.798,6345.289,2749.394,0.000000
1,11250,517,734935.6,7171222.0,581.0,93.1,0.0,54912.35,123295.0,64745.10,37873.43,22980.56,14864.50,10931.39,8176.806,5422.468,2375.273,0.000000
1,11250,521,734935.7,7171165.5,580.7,91.7,0.0,54926.07,117746.0,67208.89,34681.18,17549.27,11593.98,9006.281,6661.864,4201.734,1761.498,0.000000
1,11250,525,734935.4,7171108.0,580.4,91.7,0.0,54934.02,129867.6,70997.50,33805.54,15706.60,8370.618,5462.940,3943.935,2633.997,1205.043,0.000000
1,11250,529,734934.8,7171050.0,580.4,91.9,0.0,54935.25,149503.9,83116.62,36287.50,13783.31,6586.776,4202.625,2653.552,1468.673,568.3765,0.000000
