LOOP,LINE,FID,EAST,NORTH,TER,ALT,PITCH,MAG,EM1_Z01,EM1_Z02,EM1_Z03,EM1_Z04,EM1_Z05,EM1_Z06,EM1_Z07,EM1_Z08,EM1_Z09,EM1_Z10
1,11250,569,734923.1,7170485.0,576.0,89.6,0.0,54989.50,194641.8,122400.0,61214.25,21950.00,5757.000,1193.500,292.0000,191.7500,64.50000,1.000000
1,11250,573,734924.1,7170429.0,575.9,90.1,0.0,54996.20,181006.2,109980.8,55040.00,21132.75,6191.750,1222.500,140.7500,142.2500,73.25000,1.000000
1,11250,577,734925.3,7170371.0,575.7,91.0,0.0,55013.10,172276.5,101508.5,51858.50,21495.25,6894.000,1383.250,53.00000,97.25000,46.00000,1.000000
1,11250,581,734926.6,7170313.0,574.5,91.8,0.0,55039.90,170349.0,97758.50,52037.50,23051.25,7839.500,1768.000,115.0000,77.50000,41.00000,1.000000
1,11250,585,734927.8,7170256.0,573.7,91.9,0.0,55065.83,175301.8,100174.8,54151.50,24605.25,8564.750,2070.500,244.2500,97.25000,62.75000,1.000000
1,11250,589,734928.6,7170200.0,573.5,93.2,0.0,55079.93,187545.5,109466.8,58595.00,25939.25,8849.500,2127.250,336.7500,135.2500,89.75000,1.000000
1,11250,593,734929.0,7170144.0,573.2,95.0,0.0,55083.27,202405.5,122322.5,64162.00,27340.00,9015.750,2141.250,350.2500,127.5000,100.2500,1.000000
1,11250,597,734929.2,7170088.0,572.8,95.4,0.0,55084.58,217558.8,138678.8,72460.25,30617.25,9840.000,2281.000,319.0000,74.50000,52.75000,1.000000
1,11250,601,734929.2,7170031.0,572.8,95.7,0.0,55063.60,233449.0,159218.8,88986.75,39451.00,12803.50,2645.750,284.0000,-6.250000,-37.75000,1.000000
1,11260,4092,740329.8,7171984.0,586.4,99.0,0.0,55019.12,252367.0,187700.0,116557.0,52001.00,15774.75,3990.750,1267.000,769.0000,268.2500,1.000000
1,11260,4096,740330.1,7172036.0,588.2,97.8,0.0,55047.78,238953.8,176034.5,110394.0,50467.75,15844.75,4099.250,1216.500,697.5000,262.0000,1.000000
1,11260,4100,740330.1,7172086.5,590.1,96.2,0.0,55046.95,231082.8,170561.0,107199.8,50291.75,16666.00,4375.250,1235.750,726.5000,281.7500,1.000000
1,11260,4104,740330.1,7172136.5,591.5,94.4,0.0,55024.80,232142.8,175195.5,109483.8,52181.50,18152.00,4785.750,1364.500,812.7500,314.7500,1.000000
1,11260,4108,740330.0,7172186.5,592.9,91.4,0.0,54993.30,232988.8,176242.2,110270.5,53459.00,19213.75,5153.500,1571.750,919.0000,372.2500,1.000000
1,11260,4112,740330.0,7172236.5,595.2,86.4,0.0,54963.35,224907.8,164928.0,102890.2,50532.50,18599.50,5228.500,1800.250,1066.000,441.0000,1.000000
1,11260,4116,740330.0,7172286.5,595.5,83.4,0.0,54940.43,200200.5,141681.5,86505.25,42778.75,16640.75,5150.000,2001.750,1234.000,508.0000,1.000000
1,11260,4120,740330.0,7172336.5,592.6,86.2,0.0,54922.33,162561.8,106248.8,63554.25,32742.25,14065.75,4950.250,2138.500,1347.000,547.7500,1.000000
1,11260,4124,740330.1,7172386.5,590.7,87.1,0.0,54907.72,143195.2,86320.25,50704.75,27138.00,12297.00,4705.500,2216.000,1365.750,581.0000,1.000000
1,11260,4128,740330.2,7172436.5,591.2,86.7,0.0,54895.80,162263.2,101513.0,58974.25,30761.00,13105.75,4823.000,2284.500,1297.500,616.0000,1.000000
1,11260,4132,740330.5,7172486.5,591.6,86.4,0.0,54886.25,191750.5,125239.5,73787.00,38474.00,15747.25,5512.000,2411.250,1244.500,627.0000,1.000000
1,11260,4136,740330.8,7172538.5,591.4,86.4,0.0,54877.35,210187.5,141986.2,86227.75,44940.25,18140.25,6325.500,2612.250,1315.500,628.0000,1.000000
1,11260,4140,740330.8,7172589.0,590.8,88.0,0.0,54868.35,218258.0,155327.0,96332.50,49165.00,19499.00,6998.250,2807.500,1442.000,627.2500,1.000000
1,11260,4144,740330.6,7172639.0,589.5,90.0,0.0,54860.20,222252.8,162161.5,101987.2,51242.50,20348.25,7495.500,2915.000,1521.000,613.5000,1.000000
1,11260,4148,740330.1,7172689.0,588.0,91.0,0.0,54853.80,221093.2,158704.0,101046.8,51306.25,20956.50,7800.500,2963.000,1468.750,568.2500,1.000000
1,11260,4152,740329.4,7172739.0,586.3,92.2,0.0,54849.45,216470.2,148586.0,93651.50,49219.00,21398.75,8072.500,3055.000,1357.750,524.0000,1.000000
1,11260,4156,740328.7,7172789.0,585.4,93.4,0.0,54847.73,209294.0,135272.0,82901.00,45957.00,21901.00,8826.250,3527.250,1499.750,628.7500,62.87674
1,11260,4160,740328.0,7172838.5,585.6,94.6,0.0,54845.15,194654.0,120626.5,73142.00,42747.00,22584.50,10631.50,4861.500,2234.000,1054.250,381.2188
1,11260,4164,740327.5,7172888.5,585.7,95.8,0.0,54840.25,172107.2,105341.8,65217.75,39724.00,23037.00,12378.50,6237.750,3087.500,1493.250,611.2257
1,11260,4168,740327.0,7172938.0,585.3,96.8,0.0,54833.58,148039.2,90197.00,57780.00,36463.75,22347.50,12612.25,6627.500,3378.000,1639.750,630.0208
1,11260,4172,740326.7,7172986.0,585.3,96.9,0.0,54827.30,127920.5,77425.75,50927.75,32552.00,20031.00,11420.00,6164.000,3277.000,1618.500,579.9583
1,11260,4176,740326.4,7173035.5,586.2,96.3,0.0,54821.75,114947.8,69321.25,45388.50,28506.25,17172.00,9829.250,5518.000,3201.250,1683.000,697.5234
1,11260,4180,740326.4,7173085.5,586.6,95.5,0.0,54817.33,109468.0,65361.50,41260.25,24915.00,14637.25,8464.250,5097.250,3284.500,1946.750,864.6857
1,11260,4184,740326.4,7173135.5,585.9,96.3,0.0,54814.15,111217.5,64857.00,39059.50,22703.00,13075.75,7702.500,5009.500,3569.000,2352.750,1266.195
1,11260,4188,740326.2,7173185.5,585.1,95.8,0.0,54811.18,117847.5,66851.00,39010.25,22612.25,13141.50,7899.000,5394.500,4027.250,2823.500,1653.513
