 "LINE" "FID" "EAST" "NORTH" "TER" "ALT" "PITCH" "MAG" EM1_X01 EM1_X02 EM1_X03 EM1_X04 EM1_X05 EM1_X06 EM1_X07 EM1_X08 EM1_X09 EM1_X10 EM1_Z01 EM1_Z02 EM1_Z03 EM1_Z04 EM1_Z05 EM1_Z06 EM1_Z07 EM1_Z08 EM1_Z09 EM1_Z10
 1 11240 3828 729517.81 7168522.5 560.6701656053989 100.5829620739861 0.0 54837.57 234828.0 176522.0 119231.0 63123.0 22155.0 4824.0 617.0 314.0 149.0 0.0 268389.0 234984.0 188059.0 127583.0 65611.0 23309.0 5727.0 1029.0 61.0 0.0
 1 11240 3829 729517.75 7168535.0 560.5388011081839 100.61101495189276 0.0 54840.73 234740.0 175661.0 117452.0 61407.0 21251.0 4515.0 579.0 333.0 166.0 0.0 268629.0 235050.0 187498.0 126481.0 64429.0 22698.0 5603.0 1044.0 67.0 0.0
 1 11240 3830 729517.63 7168547.5 560.3954792270825 100.61423030672229 0.0 54844.75 234622.0 174752.0 115565.0 59605.0 20325.0 4222.0 562.0 358.0 186.0 0.0 268861.0 234984.0 186789.0 125269.0 63201.0 22084.0 5474.0 1059.0 74.0 0.0
 1 11240 3831 729517.5 7168560.0 560.2472010297969 100.59664658870116 0.0 54849.54 234455.0 173783.0 113577.0 57720.0 19374.0 3949.0 566.0 387.0 208.0 0.0 269079.0 234779.0 185899.0 123912.0 61915.0 21467.0 5341.0 1074.0 81.0 0.0
 1 11240 3832 729517.38 7168572.5 560.1013413049234 100.57245937650397 0.0 54854.75 234210.0 172721.0 111465.0 55737.0 18392.0 3696.0 586.0 420.0 231.0 0.0 269275.0 234445.0 184811.0 122378.0 60561.0 20848.0 5204.0 1087.0 87.0 0.0
 1 11240 3833 729517.25 7168585.0 559.9486424173568 100.5611081629893 0.0 54860.13 233849.0 171515.0 109180.0 53632.0 17375.0 3461.0 617.0 454.0 256.0 0.0 269440.0 234001.0 183532.0 120644.0 59135.0 20227.0 5064.0 1094.0 93.0 0.0
 1 11240 3834 729517.13 7168597.0 559.781484793215 100.58157492357768 0.0 54865.23 233334.0 170102.0 106672.0 51380.0 16321.0 3239.0 654.0 487.0 280.0 0.0 269571.0 233468.0 182081.0 118704.0 57638.0 19606.0 4922.0 1095.0 99.0 0.0
 1 11240 3835 729516.94 7168609.0 559.6011763747756 100.6466268757542 0.0 54869.75 232639.0 168425.0 103906.0 48976.0 15234.0 3026.0 688.0 518.0 303.0 0.0 269669.0 232867.0 180490.0 116567.0 56075.0 18985.0 4780.0 1087.0 105.0 0.0
 1 11240 3836 729516.75 7168621.0 559.4145210051192 100.75747610172903 0.0 54873.71 231758.0 166446.0 100886.0 46435.0 14125.0 2816.0 715.0 541.0 322.0 0.0 269738.0 232210.0 178783.0 114256.0 54456.0 18364.0 4638.0 1069.0 110.0 0.0
 1 11240 3837 729516.56 7168633.0 559.2285010501982 100.90105506245477 0.0 54877.15 230706.0 164166.0 97657.0 43801.0 13011.0 2604.0 727.0 553.0 335.0 0.0 269783.0 231493.0 176972.0 111800.0 52792.0 17745.0 4498.0 1044.0 114.0 0.0
