LINE,FID,EAST,NORTH,TER,ALT,PITCH,MAG,AppCon_106140Hz,AppCon_25380Hz,AppCon_6135Hz,AppCon_1518Hz,AppCon_385Hz,AppCon_3323Hz
31003,835,478998.7,6198857.5,35.3,30.8,0.0,0.00,16.22,29.22,85.21,215.60,519.78,133.53
31003,842,479000.0,6198880.5,34.4,32.7,0.0,0.00,18.59,32.99,93.62,228.27,542.93,150.26
31003,849,479001.0,6198903.0,33.7,33.8,0.0,0.00,20.89,36.61,102.34,241.36,566.90,156.79
31003,856,479001.6,6198925.0,32.9,34.9,0.0,0.00,25.15,42.34,115.23,260.38,599.15,163.69
31003,863,479001.8,6198947.5,32.4,35.8,0.0,0.00,30.43,46.87,120.77,269.13,611.42,170.09
31003,870,479001.4,6198969.5,32.3,36.0,0.0,0.00,29.95,46.84,116.09,260.65,603.89,164.47
31003,877,479000.7,6198992.0,32.4,35.7,0.0,0.00,27.80,45.17,109.42,249.92,588.42,155.42
31003,884,478999.8,6199015.0,32.5,35.4,0.0,0.00,28.57,46.44,107.60,248.06,586.18,153.11
31003,891,478999.0,6199038.0,32.6,35.0,0.0,0.00,27.13,45.18,102.90,242.21,575.27,150.68
31003,898,478998.2,6199061.5,32.9,34.4,0.0,0.00,25.35,43.22,98.30,233.67,564.29,143.78
31003,905,478997.5,6199085.5,33.2,33.9,0.0,0.00,24.50,42.82,97.34,230.52,557.95,142.31
31003,912,478997.1,6199109.0,33.5,33.0,0.0,0.00,24.36,42.08,95.94,227.17,546.96,141.99
31003,919,478996.9,6199133.0,33.7,32.2,0.0,0.00,24.27,42.42,96.25,226.38,543.62,140.22
31003,926,478996.9,6199156.5,33.9,31.3,0.0,0.00,21.57,39.57,91.73,218.70,528.02,136.20
31003,933,478997.1,6199179.5,34.1,30.6,0.0,0.00,20.66,38.64,90.39,217.36,528.24,133.83
31003,940,478997.3,6199202.5,34.0,30.1,0.0,0.00,20.68,38.97,90.62,219.50,530.65,131.18
31003,947,478997.4,6199225.5,33.7,30.0,0.0,0.00,20.57,38.62,89.60,221.50,536.98,133.33
31003,954,478997.5,6199248.5,33.1,31.2,0.0,0.00,23.99,42.49,96.41,238.91,571.26,143.23
31003,961,478997.3,6199271.5,32.4,32.0,0.0,0.00,24.97,44.09,102.28,253.15,598.12,150.25
31003,968,478996.9,6199294.5,31.6,32.6,0.0,0.00,28.82,49.71,114.95,279.34,637.57,168.33
31003,975,478996.2,6199318.0,30.7,33.4,0.0,0.00,36.26,58.73,134.15,314.89,689.99,193.96
31003,982,478995.3,6199341.5,30.0,34.0,0.0,0.00,40.56,63.84,147.15,337.35,728.33,207.21
31003,989,478994.4,6199365.0,29.6,34.4,0.0,0.00,42.45,66.14,152.17,347.93,751.34,221.39
31003,996,478993.4,6199389.0,29.3,34.6,0.0,0.00,41.12,67.12,152.52,352.54,763.56,225.71
31003,1003,478992.4,6199412.5,29.0,34.7,0.0,0.00,43.97,67.54,151.35,357.70,776.31,222.75
31003,1010,478991.7,6199436.5,28.9,35.0,0.0,0.00,45.55,66.49,149.47,361.12,788.57,222.56
31003,1017,478991.3,6199460.0,29.0,35.1,0.0,0.00,40.93,62.80,143.11,352.31,778.10,223.51
31003,1024,478991.3,6199484.0,29.4,34.1,0.0,0.00,30.96,53.22,124.74,318.68,722.30,203.04
31003,1031,478991.5,6199507.0,30.1,32.6,0.0,0.00,25.76,46.73,111.91,296.39,684.82,178.37
31003,1038,478991.9,6199530.5,30.7,31.1,0.0,0.00,22.83,41.96,101.15,276.07,653.11,158.08
31003,1045,478992.8,6199554.0,31.1,29.9,0.0,0.00,21.77,40.00,95.96,260.72,627.53,148.98
31003,1052,478993.9,6199577.5,31.3,29.8,0.0,0.00,23.48,43.44,98.31,261.10,627.34,150.85
31003,1059,478995.1,6199601.0,31.3,30.5,0.0,0.00,26.52,48.20,105.13,268.09,636.01,157.21
31003,1066,478996.1,6199624.5,31.1,31.1,0.0,0.00,28.82,51.36,109.75,270.57,636.91,161.23
31003,1073,478996.9,6199648.0,31.0,31.6,0.0,0.00,32.82,54.22,114.08,275.62,644.87,164.97
31003,1080,478997.3,6199671.0,31.1,31.9,0.0,0.00,34.12,53.95,112.50,272.37,636.97,161.95
31003,1087,478997.3,6199694.0,31.5,31.6,0.0,0.00,31.37,50.38,106.77,260.89,618.80,154.49
31003,1094,478996.9,6199717.5,32.0,31.0,0.0,0.00,26.70,46.08,99.69,248.26,598.95,146.59
31003,1101,478996.1,6199740.5,32.3,30.4,0.0,0.00,24.37,43.96,96.90,242.32,587.12,141.59
31003,1108,478995.1,6199764.0,32.2,30.2,0.0,0.00,24.89,45.52,99.46,246.35,595.53,145.21
31003,1115,478994.2,6199787.5,31.8,30.1,0.0,0.00,28.62,50.44,107.80,259.70,620.67,154.58
31003,1122,478993.3,6199811.5,31.0,30.2,0.0,0.00,35.16,58.10,118.80,279.90,655.58,170.90
31003,1129,478992.6,6199835.0,30.4,30.2,0.0,0.00,41.34,65.30,127.66,297.50,688.97,182.52
31003,1136,478992.2,6199859.0,30.1,29.8,0.0,0.00,45.43,69.44,130.03,303.75,702.64,186.78
31003,1143,478992.2,6199882.5,30.0,29.5,0.0,0.00,50.75,74.14,132.49,308.66,712.70,191.86
31003,1150,478992.7,6199906.0,29.9,29.2,0.0,0.00,52.87,75.94,132.63,309.87,715.89,190.39
31003,1157,478993.6,6199929.0,30.1,29.0,0.0,0.00,51.53,75.07,131.03,310.53,717.34,186.99
31003,1164,478994.6,6199952.5,30.1,28.9,0.0,0.00,51.48,74.68,130.03,313.65,724.63,186.59
31003,1171,478995.6,6199975.5,30.0,29.7,0.0,0.00,58.97,77.12,132.40,327.19,751.92,192.83
31003,1178,478996.2,6199998.5,29.8,30.7,0.0,0.00,54.15,68.92,125.29,325.21,750.59,187.94
31003,1185,478996.4,6200021.5,29.9,31.4,0.0,0.00,46.10,58.78,115.95,317.06,741.30,180.66
31003,1192,478996.2,6200044.5,29.8,31.8,0.0,0.00,39.32,50.09,109.01,314.12,739.25,175.83
31003,1199,478995.6,6200067.5,29.6,31.9,0.0,0.00,35.61,44.05,105.40,317.18,746.74,172.17
31003,1206,478994.7,6200090.5,29.8,31.3,0.0,0.00,29.44,37.51,98.24,306.60,726.33,165.42
31003,1213,478993.6,6200114.5,30.2,29.9,0.0,0.00,20.56,29.92,86.98,278.45,677.25,149.91
31003,1220,478992.4,6200138.5,30.4,29.3,0.0,0.00,18.64,28.32,86.82,279.05,677.53,148.44
31003,1227,478991.5,6200163.0,29.4,29.9,0.0,0.00,22.76,32.26,97.54,310.61,732.42,170.14
31003,1234,478990.7,6200188.0,28.0,31.2,0.0,0.00,34.90,40.61,117.78,357.77,812.14,204.65
31003,1241,478990.4,6200212.5,26.9,31.9,0.0,0.00,46.69,49.27,132.64,383.83,854.10,230.23
31003,1248,478990.6,6200237.0,26.5,31.7,0.0,0.00,48.87,51.68,137.29,388.79,860.65,235.99
31003,1255,478991.5,6200261.0,26.4,31.0,0.0,0.00,45.63,51.76,138.86,390.21,862.42,233.17
31003,1262,478993.0,6200284.5,26.1,30.5,0.0,0.00,44.29,52.29,143.22,401.22,879.10,233.84
31003,1269,478994.7,6200308.0,25.9,30.7,0.0,0.00,42.32,52.19,146.65,411.30,896.65,238.83
