Iteration,Location,RL,East,North,Res_ohmm,LogRes,Cond_Ms_m,LogCond
1,525.0,242.6,740329.81,7172496.00,915.09,2.96,1.09,0.04
1,525.0,204.2,740329.81,7172496.00,936.64,2.97,1.07,0.03
1,525.0,163.7,740329.81,7172496.00,952.22,2.98,1.05,0.02
1,525.0,120.8,740329.81,7172496.00,961.26,2.98,1.04,0.02
1,575.0,586.1,740329.81,7172546.00,611.44,2.79,1.64,0.21
1,575.0,576.1,740329.81,7172546.00,611.78,2.79,1.63,0.21
1,575.0,566.1,740329.81,7172546.00,612.71,2.79,1.63,0.21
1,575.0,556.1,740329.81,7172546.00,614.40,2.79,1.63,0.21
1,575.0,546.1,740329.81,7172546.00,616.94,2.79,1.62,0.21
1,575.0,533.6,740329.81,7172546.00,622.33,2.79,1.61,0.21
1,575.0,516.1,740329.81,7172546.00,632.26,2.80,1.58,0.20
1,575.0,495.5,740329.81,7172546.00,646.58,2.81,1.55,0.19
1,575.0,473.7,740329.81,7172546.00,665.79,2.82,1.50,0.18
1,575.0,450.5,740329.81,7172546.00,689.88,2.84,1.45,0.16
1,575.0,426.0,740329.81,7172546.00,718.42,2.86,1.39,0.14
1,575.0,400.0,740329.81,7172546.00,750.50,2.88,1.33,0.12
1,575.0,372.4,740329.81,7172546.00,784.77,2.89,1.27,0.11
1,575.0,343.2,740329.81,7172546.00,819.57,2.91,1.22,0.09
1,575.0,312.2,740329.81,7172546.00,853.06,2.93,1.17,0.07
1,575.0,278.7,740329.81,7172546.00,884.89,2.95,1.13,0.05
1,575.0,242.5,740329.81,7172546.00,912.14,2.96,1.10,0.04
1,575.0,204.1,740329.81,7172546.00,934.00,2.97,1.07,0.03
1,575.0,163.6,740329.81,7172546.00,949.99,2.98,1.05,0.02
1,575.0,120.8,740329.81,7172546.00,959.34,2.98,1.04,0.02
1,625.0,585.4,740329.81,7172596.00,672.49,2.83,1.49,0.17
1,625.0,575.4,740329.81,7172596.00,672.01,2.83,1.49,0.17
1,625.0,565.4,740329.81,7172596.00,671.45,2.83,1.49,0.17
1,625.0,555.4,740329.81,7172596.00,671.11,2.83,1.49,0.17
1,625.0,545.4,740329.81,7172596.00,671.21,2.83,1.49,0.17
1,625.0,532.9,740329.81,7172596.00,672.33,2.83,1.49,0.17
1,625.0,515.4,740329.81,7172596.00,676.03,2.83,1.48,0.17
1,625.0,494.8,740329.81,7172596.00,683.39,2.83,1.46,0.17
1,625.0,473.0,740329.81,7172596.00,695.24,2.84,1.44,0.16
1,625.0,449.8,740329.81,7172596.00,712.04,2.85,1.40,0.15
1,625.0,425.3,740329.81,7172596.00,733.82,2.87,1.36,0.13
1,625.0,399.3,740329.81,7172596.00,760.05,2.88,1.32,0.12
1,625.0,371.7,740329.81,7172596.00,789.69,2.90,1.27,0.10
1,625.0,342.5,740329.81,7172596.00,821.18,2.91,1.22,0.09
1,625.0,311.5,740329.81,7172596.00,852.60,2.93,1.17,0.07
1,625.0,278.0,740329.81,7172596.00,883.20,2.95,1.13,0.05
1,625.0,242.0,740329.81,7172596.00,910.00,2.96,1.10,0.04
1,625.0,203.8,740329.81,7172596.00,931.88,2.97,1.07,0.03
1,625.0,163.4,740329.81,7172596.00,948.07,2.98,1.05,0.02
1,625.0,120.7,740329.81,7172596.00,957.61,2.98,1.04,0.02
1,675.0,584.2,740329.81,7172646.00,733.02,2.87,1.36,0.13
1,675.0,574.2,740329.81,7172646.00,731.85,2.86,1.37,0.14
1,675.0,564.2,740329.81,7172646.00,729.96,2.86,1.37,0.14
1,675.0,554.2,740329.81,7172646.00,727.76,2.86,1.37,0.14
1,675.0,544.2,740329.81,7172646.00,725.58,2.86,1.38,0.14
1,675.0,531.7,740329.81,7172646.00,722.66,2.86,1.38,0.14
1,675.0,514.2,740329.81,7172646.00,720.41,2.86,1.39,0.14
1,675.0,493.6,740329.81,7172646.00,721.08,2.86,1.39,0.14
1,675.0,471.8,740329.81,7172646.00,725.86,2.86,1.38,0.14
1,675.0,448.6,740329.81,7172646.00,735.65,2.87,1.36,0.13
1,675.0,424.1,740329.81,7172646.00,750.88,2.88,1.33,0.12
1,675.0,398.1,740329.81,7172646.00,771.41,2.89,1.30,0.11
1,675.0,370.5,740329.81,7172646.00,796.41,2.90,1.26,0.10
1,675.0,341.3,740329.81,7172646.00,824.45,2.92,1.21,0.08
1,675.0,310.3,740329.81,7172646.00,853.58,2.93,1.17,0.07
1,675.0,277.0,740329.81,7172646.00,882.61,2.95,1.13,0.05
1,675.0,241.1,740329.81,7172646.00,908.65,2.96,1.10,0.04
1,675.0,203.2,740329.81,7172646.00,930.27,2.97,1.07,0.03
1,675.0,163.0,740329.81,7172646.00,946.47,2.98,1.06,0.02
1,675.0,120.6,740329.81,7172646.00,956.11,2.98,1.05,0.02
1,725.0,582.7,740329.81,7172696.00,785.54,2.90,1.27,0.10
1,725.0,572.7,740329.81,7172696.00,783.86,2.89,1.28,0.11
1,725.0,562.7,740329.81,7172696.00,780.99,2.89,1.28,0.11
1,725.0,552.7,740329.81,7172696.00,777.38,2.89,1.29,0.11
1,725.0,542.7,740329.81,7172696.00,773.43,2.89,1.29,0.11
1,725.0,530.2,740329.81,7172696.00,767.31,2.88,1.30,0.12
1,725.0,512.7,740329.81,7172696.00,760.23,2.88,1.32,0.12
1,725.0,492.1,740329.81,7172696.00,755.37,2.88,1.32,0.12
1,725.0,470.3,740329.81,7172696.00,754.21,2.88,1.33,0.12
1,725.0,447.2,740329.81,7172696.00,758.01,2.88,1.32,0.12
1,725.0,422.6,740329.81,7172696.00,767.56,2.89,1.30,0.11
1,725.0,396.6,740329.81,7172696.00,783.04,2.89,1.28,0.11
1,725.0,369.1,740329.81,7172696.00,803.85,2.91,1.24,0.09
1,725.0,339.8,740329.81,7172696.00,828.64,2.92,1.21,0.08
1,725.0,308.9,740329.81,7172696.00,855.49,2.93,1.17,0.07
1,725.0,275.6,740329.81,7172696.00,882.83,2.95,1.13,0.05
1,725.0,240.1,740329.81,7172696.00,907.93,2.96,1.10,0.04
1,725.0,202.5,740329.81,7172696.00,929.11,2.97,1.08,0.03
1,725.0,162.6,740329.81,7172696.00,945.18,2.98,1.06,0.02
1,725.0,120.4,740329.81,7172696.00,954.82,2.98,1.05,0.02
1,775.0,581.5,740329.81,7172746.00,824.50,2.92,1.21,0.08
1,775.0,571.5,740329.81,7172746.00,822.62,2.92,1.22,0.08
1,775.0,561.5,740329.81,7172746.00,819.28,2.91,1.22,0.09
1,775.0,551.5,740329.81,7172746.00,814.92,2.91,1.23,0.09
1,775.0,541.5,740329.81,7172746.00,809.97,2.91,1.23,0.09
1,775.0,529.0,740329.81,7172746.00,801.92,2.90,1.25,0.10
1,775.0,511.5,740329.81,7172746.00,791.74,2.90,1.26,0.10
1,775.0,490.9,740329.81,7172746.00,783.10,2.89,1.28,0.11
1,775.0,469.0,740329.81,7172746.00,777.67,2.89,1.29,0.11
1,775.0,445.9,740329.81,7172746.00,777.01,2.89,1.29,0.11
1,775.0,421.4,740329.81,7172746.00,782.19,2.89,1.28,0.11
1,775.0,395.3,740329.81,7172746.00,793.64,2.90,1.26,0.10
1,775.0,367.8,740329.81,7172746.00,810.98,2.91,1.23,0.09
1,775.0,338.6,740329.81,7172746.00,832.99,2.92,1.20,0.08
1,775.0,307.6,740329.81,7172746.00,857.77,2.93,1.17,0.07
1,775.0,274.5,740329.81,7172746.00,883.53,2.95,1.13,0.05
1,775.0,239.2,740329.81,7172746.00,907.64,2.96,1.10,0.04
1,775.0,201.8,740329.81,7172746.00,928.30,2.97,1.08,0.03
1,775.0,162.2,740329.81,7172746.00,944.15,2.98,1.06,0.02
1,775.0,120.3,740329.81,7172746.00,953.73,2.98,1.05,0.02
1,825.0,580.7,740329.81,7172796.00,847.92,2.93,1.18,0.07
1,825.0,570.7,740329.81,7172796.00,846.12,2.93,1.18,0.07
1,825.0,560.7,740329.81,7172796.00,842.83,2.93,1.19,0.07
1,825.0,550.7,740329.81,7172796.00,838.41,2.92,1.19,0.08
1,825.0,540.7,740329.81,7172796.00,833.24,2.92,1.20,0.08
1,825.0,528.2,740329.81,7172796.00,824.61,2.92,1.21,0.08
1,825.0,510.7,740329.81,7172796.00,813.18,2.91,1.23,0.09
1,825.0,490.1,740329.81,7172796.00,802.67,2.90,1.25,0.10
1,825.0,468.3,740329.81,7172796.00,794.83,2.90,1.26,0.10
1,825.0,445.1,740329.81,7172796.00,791.39,2.90,1.26,0.10
1,825.0,420.6,740329.81,7172796.00,793.66,2.90,1.26,0.10
1,825.0,394.6,740329.81,7172796.00,802.27,2.90,1.25,0.10
1,825.0,367.0,740329.81,7172796.00,817.03,2.91,1.22,0.09
1,825.0,337.8,740329.81,7172796.00,836.86,2.92,1.19,0.08
1,825.0,306.8,740329.81,7172796.00,859.94,2.93,1.16,0.07
1,825.0,273.8,740329.81,7172796.00,884.35,2.95,1.13,0.05
1,825.0,238.7,740329.81,7172796.00,907.58,2.96,1.10,0.04
1,825.0,201.4,740329.81,7172796.00,927.73,2.97,1.08,0.03
1,825.0,162.0,740329.81,7172796.00,943.34,2.97,1.06,0.03
1,825.0,120.2,740329.81,7172796.00,952.83,2.98,1.05,0.02
1,875.0,580.5,740329.81,7172846.00,857.14,2.93,1.17,0.07
1,875.0,570.5,740329.81,7172846.00,855.62,2.93,1.17,0.07
1,875.0,560.5,740329.81,7172846.00,852.76,2.93,1.17,0.07
1,875.0,550.5,740329.81,7172846.00,848.81,2.93,1.18,0.07
1,875.0,540.5,740329.81,7172846.00,844.07,2.93,1.18,0.07
1,875.0,528.0,740329.81,7172846.00,835.94,2.92,1.20,0.08
1,875.0,510.5,740329.81,7172846.00,824.80,2.92,1.21,0.08
1,875.0,489.9,740329.81,7172846.00,814.07,2.91,1.23,0.09
1,875.0,468.0,740329.81,7172846.00,805.47,2.91,1.24,0.09
1,875.0,444.9,740329.81,7172846.00,800.81,2.90,1.25,0.10
1,875.0,420.3,740329.81,7172846.00,801.53,2.90,1.25,0.10
1,875.0,394.3,740329.81,7172846.00,808.44,2.91,1.24,0.09
1,875.0,366.8,740329.81,7172846.00,821.53,2.91,1.22,0.09
1,875.0,337.6,740329.81,7172846.00,839.84,2.92,1.19,0.08
