 "LINE" "FID" "EAST" "NORTH" "TER" "ALT" "PITCH" "MAG" EM1_X01 EM1_X02 EM1_X03 EM1_X04 EM1_X05 EM1_X06 EM1_X07 EM1_X08 EM1_X09 EM1_X10 EM1_Z01 EM1_Z02 EM1_Z03 EM1_Z04 EM1_Z05 EM1_Z06 EM1_Z07 EM1_Z08 EM1_Z09 EM1_Z10
 1 11260 4132 740330.5 7172486.5 591.5588261892578 86.51268067079289 0.0 54887.25 275618.0 172688.0 89657.0 35545.0 9761.0 2167.0 376.0 156.0 139.0 0.0 189008.0 123062.0 72180.0 37589.0 15401.0 5404.0 2387.0 1239.0 627.0 0.0
 1 11260 4133 740330.56 7172499.5 591.5413924104273 86.42951637441372 0.0 54885.12 277621.0 172448.0 89363.0 35543.0 9847.0 2221.0 403.0 167.0 139.0 0.0 195324.0 128006.0 75601.0 39472.0 16119.0 5616.0 2430.0 1240.0 627.0 0.0
 1 11260 4134 740330.63 7172512.5 591.5142436555584 86.3143598224788 0.0 54883.05 279099.0 172211.0 89027.0 35475.0 9903.0 2271.0 432.0 179.0 141.0 0.0 200775.0 132413.0 78830.0 41231.0 16796.0 5829.0 2478.0 1252.0 628.0 0.0
 1 11260 4135 740330.69 7172525.5 591.470149801596 86.21785853025689 0.0 54880.79 280215.0 172156.0 88773.0 35408.0 9948.0 2321.0 463.0 193.0 145.0 0.0 205349.0 136437.0 81907.0 42855.0 17412.0 6037.0 2530.0 1272.0 628.0 0.0
 1 11260 4136 740330.75 7172538.5 591.4014734531663 86.21189445959153 0.0 54878.5 281094.0 172342.0 88647.0 35374.0 9992.0 2373.0 498.0 210.0 150.0 0.0 209071.0 140223.0 84862.0 44340.0 17950.0 6236.0 2585.0 1299.0 628.0 0.0
 1 11260 4137 740330.81 7172551.5 591.3005415176075 86.35858842828169 0.0 54876.21 281806.0 172737.0 88646.0 35383.0 10042.0 2428.0 538.0 229.0 157.0 0.0 212016.0 143869.0 87708.0 45683.0 18408.0 6425.0 2640.0 1329.0 628.0 0.0
 1 11260 4138 740330.81 7172564.5 591.158745885848 86.6818482291539 0.0 54873.91 282343.0 173236.0 88727.0 35429.0 10099.0 2489.0 584.0 251.0 167.0 0.0 214314.0 147416.0 90434.0 46883.0 18791.0 6604.0 2694.0 1362.0 628.0 0.0
 1 11260 4139 740330.81 7172577.0 590.9766197186298 87.15796024398735 0.0 54871.61 282609.0 173659.0 88816.0 35497.0 10166.0 2558.0 638.0 275.0 179.0 0.0 216136.0 150842.0 93012.0 47937.0 19112.0 6772.0 2745.0 1396.0 628.0 0.0
 1 11260 4140 740330.81 7172589.0 590.7516882125042 87.72912784981901 0.0 54869.4 282421.0 173751.0 88807.0 35560.0 10242.0 2639.0 700.0 301.0 194.0 0.0 217655.0 154070.0 95400.0 48847.0 19389.0 6930.0 2791.0 1428.0 628.0 0.0
 1 11260 4141 740330.81 7172601.5 590.4718474509812 88.32877404463167 0.0 54867.18 281532.0 173202.0 88563.0 35578.0 10324.0 2733.0 769.0 330.0 212.0 0.0 219004.0 156979.0 97542.0 49618.0 19635.0 7077.0 2831.0 1459.0 627.0 0.0
