Iteration,Location,RL,East,North,Res_ohmm,LogRes,Cond_Ms_m,LogCond
1,325.0,-1.1,729522.38,7168344.50,987.17,2.99,1.01,0.01
1,375.0,555.4,729522.62,7168394.50,503.32,2.70,1.99,0.30
1,375.0,545.4,729522.62,7168394.50,504.05,2.70,1.98,0.30
1,375.0,535.4,729522.62,7168394.50,505.85,2.70,1.98,0.30
1,375.0,525.4,729522.62,7168394.50,508.93,2.71,1.96,0.29
1,375.0,515.4,729522.62,7168394.50,513.37,2.71,1.95,0.29
1,375.0,502.9,729522.62,7168394.50,522.56,2.72,1.91,0.28
1,375.0,485.4,729522.62,7168394.50,539.00,2.73,1.86,0.27
1,375.0,464.8,729522.62,7168394.50,561.92,2.75,1.78,0.25
1,375.0,442.9,729522.62,7168394.50,591.77,2.77,1.69,0.23
1,375.0,419.8,729522.62,7168394.50,628.14,2.80,1.59,0.20
1,375.0,395.3,729522.62,7168394.50,669.89,2.83,1.49,0.17
1,375.0,369.2,729522.62,7168394.50,715.22,2.85,1.40,0.15
1,375.0,341.7,729522.62,7168394.50,761.82,2.88,1.31,0.12
1,375.0,312.5,729522.62,7168394.50,807.17,2.91,1.24,0.09
1,375.0,281.5,729522.62,7168394.50,849.01,2.93,1.18,0.07
1,375.0,248.6,729522.62,7168394.50,885.62,2.95,1.13,0.05
1,375.0,213.8,729522.62,7168394.50,916.04,2.96,1.09,0.04
1,375.0,176.2,729522.62,7168394.50,941.06,2.97,1.06,0.03
1,375.0,135.5,729522.62,7168394.50,959.70,2.98,1.04,0.02
1,375.0,92.5,729522.62,7168394.50,972.89,2.99,1.03,0.01
1,375.0,47.0,729522.62,7168394.50,981.55,2.99,1.02,0.01
1,375.0,-1.1,729522.62,7168394.50,986.22,2.99,1.01,0.01
1,425.0,555.6,729522.75,7168444.50,558.22,2.75,1.79,0.25
1,425.0,545.6,729522.75,7168444.50,558.23,2.75,1.79,0.25
1,425.0,535.6,729522.75,7168444.50,558.71,2.75,1.79,0.25
1,425.0,525.6,729522.75,7168444.50,560.00,2.75,1.79,0.25
1,425.0,515.6,729522.75,7168444.50,562.31,2.75,1.78,0.25
1,425.0,503.1,729522.75,7168444.50,567.77,2.75,1.76,0.25
1,425.0,485.6,729522.75,7168444.50,578.77,2.76,1.73,0.24
1,425.0,465.0,729522.75,7168444.50,595.56,2.77,1.68,0.23
1,425.0,443.2,729522.75,7168444.50,618.84,2.79,1.62,0.21
1,425.0,420.0,729522.75,7168444.50,648.50,2.81,1.54,0.19
1,425.0,395.5,729522.75,7168444.50,683.82,2.83,1.46,0.17
1,425.0,369.5,729522.75,7168444.50,723.44,2.86,1.38,0.14
1,425.0,341.9,729522.75,7168444.50,765.38,2.88,1.31,0.12
1,425.0,312.7,729522.75,7168444.50,807.39,2.91,1.24,0.09
1,425.0,281.7,729522.75,7168444.50,847.17,2.93,1.18,0.07
1,425.0,248.9,729522.75,7168444.50,882.84,2.95,1.13,0.05
1,425.0,214.1,729522.75,7168444.50,913.10,2.96,1.10,0.04
1,425.0,176.4,729522.75,7168444.50,938.45,2.97,1.07,0.03
1,425.0,135.7,729522.75,7168444.50,957.60,2.98,1.04,0.02
1,425.0,92.7,729522.75,7168444.50,971.30,2.99,1.03,0.01
1,425.0,47.1,729522.75,7168444.50,980.38,2.99,1.02,0.01
1,425.0,-1.0,729522.75,7168444.50,985.30,2.99,1.01,0.01
1,475.0,555.6,729523.00,7168494.50,608.45,2.78,1.64,0.22
1,475.0,545.6,729523.00,7168494.50,607.92,2.78,1.64,0.22
1,475.0,535.6,729523.00,7168494.50,607.40,2.78,1.65,0.22
1,475.0,525.6,729523.00,7168494.50,607.29,2.78,1.65,0.22
1,475.0,515.6,729523.00,7168494.50,607.89,2.78,1.65,0.22
1,475.0,503.1,729523.00,7168494.50,610.31,2.79,1.64,0.21
1,475.0,485.6,729523.00,7168494.50,616.75,2.79,1.62,0.21
1,475.0,465.0,729523.00,7168494.50,628.30,2.80,1.59,0.20
1,475.0,443.2,729523.00,7168494.50,645.83,2.81,1.55,0.19
1,475.0,420.0,729523.00,7168494.50,669.54,2.83,1.49,0.17
1,475.0,395.5,729523.00,7168494.50,699.05,2.84,1.43,0.16
1,475.0,369.5,729523.00,7168494.50,733.33,2.87,1.36,0.13
1,475.0,341.9,729523.00,7168494.50,770.80,2.89,1.30,0.11
1,475.0,312.7,729523.00,7168494.50,809.39,2.91,1.24,0.09
1,475.0,281.7,729523.00,7168494.50,846.89,2.93,1.18,0.07
1,475.0,248.9,729523.00,7168494.50,881.29,2.95,1.13,0.05
1,475.0,214.1,729523.00,7168494.50,911.07,2.96,1.10,0.04
1,475.0,176.4,729523.00,7168494.50,936.43,2.97,1.07,0.03
1,475.0,135.7,729523.00,7168494.50,955.86,2.98,1.05,0.02
1,475.0,92.7,729523.00,7168494.50,969.92,2.99,1.03,0.01
1,475.0,47.1,729523.00,7168494.50,979.32,2.99,1.02,0.01
1,475.0,-1.0,729523.00,7168494.50,984.45,2.99,1.02,0.01
1,525.0,555.3,729523.12,7168544.50,647.79,2.81,1.54,0.19
