Loop,Iteration,Fid,East,North,Ter,Alt,Pitch,MAG,HCP106140Hz_IP,HCP106140Hz_OP,HCP25380Hz_IP,HCP25380Hz_OP,HCP6135Hz_IP,HCP6135Hz_OP,HCP1518Hz_IP,HCP1518Hz_OP,HCP385Hz_IP,HCP385Hz_OP,VCA3323Hz_IP,VCA3323Hz_OP
1,1,1468,478997.7,6201006.5,25.7,35.0,0.0,0.0,1829.091,235.7636,1281.245,312.5000,1120.764,304.6273,976.4909,309.5363,712.6636,344.9182,397.5091,109.7545
1,1,1479,478997.8,6201045.0,24.8,36.2,0.0,0.0,1718.045,179.2909,1232.554,273.8455,1098.409,289.1636,955.8817,300.5818,698.2727,337.1454,389.7636,105.9818
1,1,1490,478997.9,6201084.0,24.5,36.6,0.0,0.0,1669.000,189.2454,1202.218,253.8363,1083.082,276.1636,945.1364,295.0364,689.8364,331.4091,384.7273,101.9091
1,1,1501,478998.2,6201122.5,24.3,35.9,0.0,0.0,1751.145,201.5000,1251.664,261.7727,1126.127,290.6545,979.6272,310.2363,710.0635,345.7637,397.6182,106.9273
1,1,1512,478998.7,6201161.0,24.1,35.5,0.0,0.0,1837.173,202.3909,1313.591,288.6818,1171.655,309.8273,1016.882,327.1727,735.6636,360.3273,410.2000,112.6091
1,1,1523,478999.0,6201200.0,24.2,35.5,0.0,0.0,1848.964,200.8000,1304.445,293.8273,1156.773,310.2273,1001.982,322.1909,726.9364,355.6909,408.3000,112.3273
1,1,1534,478998.9,6201239.0,24.4,35.5,0.0,0.0,1824.027,237.1818,1278.546,292.3727,1140.700,301.0454,991.4000,316.0091,721.6000,351.4727,404.1091,109.2273
1,1,1545,478998.7,6201277.5,25.0,34.5,0.0,0.0,1830.618,283.4272,1271.836,289.6091,1151.000,299.3909,1001.736,318.9454,725.5454,354.3182,405.7272,109.1000
1,1,1556,478998.2,6201316.5,25.1,34.0,0.0,0.0,1915.318,283.1818,1323.318,312.9363,1186.473,319.6272,1025.955,333.5091,741.5272,364.1545,417.6818,117.6182
1,1,1567,478997.6,6201355.5,24.8,33.8,0.0,0.0,2087.809,281.8000,1424.255,370.9000,1235.909,363.8727,1054.673,356.9272,758.1091,378.4636,430.5909,126.3091
1,1,1578,478997.1,6201395.5,24.8,33.4,0.0,0.0,2213.236,290.6364,1503.445,413.6091,1266.236,399.0000,1067.718,371.9545,768.7546,386.8000,439.1364,136.9182
1,1,1589,478996.9,6201435.0,25.3,33.8,0.0,0.0,2156.563,272.0363,1475.064,420.5000,1222.391,396.4364,1023.182,358.4454,741.1909,370.4909,431.6273,136.9273
1,1,1600,478997.1,6201473.5,26.4,33.6,0.0,0.0,2066.982,263.0909,1441.209,407.8181,1181.882,389.1091,981.0364,347.0182,710.6454,356.6909,433.2000,137.4636
1,1,1611,478997.6,6201509.5,27.5,32.6,0.0,0.0,2061.400,287.0000,1451.691,396.8454,1198.300,390.3545,996.0363,354.0363,718.8363,360.9909,425.9818,136.0273
1,1,1622,478998.2,6201544.0,28.3,32.0,0.0,0.0,1993.064,300.2545,1400.091,364.1818,1185.555,366.3545,996.7454,345.3818,720.0182,358.0818,409.3909,126.9182
