 East  ,  RL  ,  Delpar	 
    1950.0,     -18.4,      0.06
    1950.0,     -21.4,      0.05
    1950.0,     -24.4,      0.04
    1950.0,     -27.4,      0.04
    1950.0,     -30.4,      0.03
    1950.0,     -33.4,      0.03
    1950.0,     -36.6,      0.02
    1950.0,     -39.8,      0.02
    1950.0,     -43.1,      0.02
    1950.0,     -46.4,      0.02
    1950.0,     -49.6,      0.01
    1950.0,     -52.9,      0.01
    1950.0,     -56.2,      0.01
    1950.0,     -59.5,      0.01
    1950.0,     -62.7,      0.01
    1950.0,     -66.0,      0.01
    2050.0,      26.4,      0.31
    2050.0,      23.4,      0.32
    2050.0,      20.4,      0.33
    2050.0,      17.4,      0.40
    2050.0,      14.4,      0.47
    2050.0,      11.4,      0.44
    2050.0,       8.4,      0.36
    2050.0,       5.4,      0.28
    2050.0,       2.4,      0.21
    2050.0,      -0.6,      0.16
    2050.0,      -3.6,      0.12
    2050.0,      -6.6,      0.10
    2050.0,      -9.6,      0.08
    2050.0,     -12.6,      0.06
    2050.0,     -15.6,      0.05
    2050.0,     -18.6,      0.04
    2050.0,     -21.6,      0.04
    2050.0,     -24.6,      0.03
    2050.0,     -27.6,      0.03
    2050.0,     -30.6,      0.02
    2050.0,     -33.9,      0.02
    2050.0,     -37.4,      0.02
    2050.0,     -41.0,      0.01
    2050.0,     -44.5,      0.01
    2050.0,     -48.1,      0.01
    2050.0,     -51.6,      0.01
    2050.0,     -55.2,      0.01
    2050.0,     -58.7,      0.00
    2050.0,     -62.3,      0.00
    2050.0,     -65.9,      0.00
    2150.0,      28.9,      0.45
    2150.0,      25.9,      0.41
    2150.0,      22.9,      0.24
    2150.0,      19.9,      0.18
    2150.0,      16.9,      0.22
    2150.0,      13.9,      0.25
    2150.0,      10.9,      0.24
    2150.0,       7.9,      0.21
    2150.0,       4.9,      0.18
    2150.0,       1.9,      0.14
    2150.0,      -1.1,      0.12
    2150.0,      -4.1,      0.09
    2150.0,      -7.1,      0.07
    2150.0,     -10.1,      0.06
    2150.0,     -13.1,      0.05
    2150.0,     -16.1,      0.04
    2150.0,     -19.1,      0.03
    2150.0,     -22.1,      0.03
    2150.0,     -25.1,      0.02
    2150.0,     -28.1,      0.02
    2150.0,     -31.5,      0.01
    2150.0,     -35.3,      0.01
    2150.0,     -39.1,      0.01
    2150.0,     -42.9,      0.00
    2150.0,     -46.7,      0.00
    2150.0,     -50.5,      0.00
    2150.0,     -54.3,      0.00
    2150.0,     -58.1,     -0.00
    2150.0,     -61.9,     -0.00
    2150.0,     -65.7,     -0.00
    2250.0,      30.2,      0.55
    2250.0,      27.2,      0.48
    2250.0,      24.2,      0.22
    2250.0,      21.2,      0.09
    2250.0,      18.2,      0.11
    2250.0,      15.2,      0.16
    2250.0,      12.2,      0.18
    2250.0,       9.1,      0.18
    2250.0,       6.2,      0.16
    2250.0,       3.2,      0.14
    2250.0,       0.1,      0.11
    2250.0,      -2.8,      0.09
    2250.0,      -5.8,      0.08
    2250.0,      -8.9,      0.06
    2250.0,     -11.8,      0.05
    2250.0,     -14.8,      0.04
    2250.0,     -17.8,      0.03
    2250.0,     -20.8,      0.02
    2250.0,     -23.8,      0.02
    2250.0,     -26.8,      0.02
    2250.0,     -30.3,      0.01
    2250.0,     -34.2,      0.01
    2250.0,     -38.2,      0.00
    2250.0,     -42.1,      0.00
    2250.0,     -46.0,      0.00
    2250.0,     -50.0,     -0.00
    2250.0,     -53.9,     -0.00
    2250.0,     -57.8,     -0.00
    2250.0,     -61.7,     -0.00
    2250.0,     -65.7,     -0.00
    2350.0,      30.3,      0.36
    2350.0,      27.3,      0.30
    2350.0,      24.3,      0.13
    2350.0,      21.3,      0.09
    2350.0,      18.3,      0.13
    2350.0,      15.3,      0.17
    2350.0,      12.3,      0.19
    2350.0,       9.3,      0.18
    2350.0,       6.3,      0.16
    2350.0,       3.3,      0.13
    2350.0,       0.3,      0.11
    2350.0,      -2.7,      0.09
    2350.0,      -5.7,      0.07
    2350.0,      -8.7,      0.06
    2350.0,     -11.7,      0.05
    2350.0,     -14.7,      0.04
    2350.0,     -17.7,      0.03
    2350.0,     -20.7,      0.03
    2350.0,     -23.7,      0.02
    2350.0,     -26.7,      0.02
    2350.0,     -30.2,      0.01
    2350.0,     -34.1,      0.01
    2350.0,     -38.0,      0.01
    2350.0,     -42.0,      0.00
    2350.0,     -45.9,      0.00
    2350.0,     -49.9,      0.00
    2350.0,     -53.8,     -0.00
    2350.0,     -57.8,     -0.00
    2350.0,     -61.7,     -0.00
    2350.0,     -65.7,     -0.00
    2450.0,      30.3,      0.24
    2450.0,      27.3,      0.21
    2450.0,      24.3,      0.11
    2450.0,      21.3,      0.11
    2450.0,      18.3,      0.18
    2450.0,      15.3,      0.21
    2450.0,      12.3,      0.21
    2450.0,       9.3,      0.19
    2450.0,       6.3,      0.16
    2450.0,       3.3,      0.13
    2450.0,       0.3,      0.11
    2450.0,      -2.7,      0.09
    2450.0,      -5.7,      0.07
    2450.0,      -8.7,      0.06
    2450.0,     -11.7,      0.05
    2450.0,     -14.7,      0.04
    2450.0,     -17.7,      0.03
    2450.0,     -20.7,      0.03
    2450.0,     -23.7,      0.02
    2450.0,     -26.7,      0.02
    2450.0,     -30.1,      0.02
    2450.0,     -34.1,      0.01
    2450.0,     -38.0,      0.01
    2450.0,     -42.0,      0.01
    2450.0,     -45.9,      0.01
    2450.0,     -49.9,      0.00
    2450.0,     -53.8,      0.00
    2450.0,     -57.8,      0.00
    2450.0,     -61.7,      0.00
    2450.0,     -65.7,      0.00
    2550.0,      30.3,      0.33
    2550.0,      27.3,      0.35
    2550.0,      24.3,      0.28
