Loop,Line,Fid,East,North,Ter,Alt,Pitch,MAG,HCP106140Hz_IP,HCP106140Hz_OP,HCP25380Hz_IP,HCP25380Hz_OP,HCP6135Hz_IP,HCP6135Hz_OP,HCP1518Hz_IP,HCP1518Hz_OP,HCP385Hz_IP,HCP385Hz_OP,VCA3323Hz_IP,VCA3323Hz_OP
1,0,59,478997.8,6197491.0,33.8,34.4,0.0,0.0,1294.614,316.5627,1130.996,251.3112,888.5590,282.4915,650.4915,293.0471,334.0822,318.4060,299.1204,106.3321
1,0,60,478997.8,6197516.0,33.3,34.4,0.0,0.0,1301.071,317.9481,1139.019,247.8451,902.3076,282.5852,659.8992,296.6054,339.9246,322.4941,303.2721,106.6461
1,0,61,478997.8,6197541.0,32.7,34.4,0.0,0.0,1298.110,310.6372,1143.047,240.8849,913.0979,280.8364,667.5612,298.8344,345.4029,325.4398,309.4873,107.6212
1,0,62,478997.8,6197566.0,32.2,34.4,0.0,0.0,1294.055,300.8046,1145.909,234.0312,922.6877,277.9824,675.3734,300.1633,351.6563,328.2621,312.7280,107.7859
1,0,63,478997.8,6197591.0,31.6,34.4,0.0,0.0,1287.196,286.0224,1147.246,225.9784,931.2318,273.7347,683.4453,300.7054,358.6662,330.9045,313.6924,106.9621
1,0,64,478997.8,6197616.0,31.0,34.4,0.0,0.0,1279.632,271.6198,1149.312,217.2164,940.7589,269.3025,692.6421,301.2496,366.8658,333.8998,319.6642,107.7447
1,0,65,478997.8,6197641.0,30.3,34.4,0.0,0.0,1277.782,256.6357,1156.364,207.8625,957.4989,263.8497,708.7738,303.6439,378.6212,340.2777,325.4013,107.4909
1,0,66,478997.8,6197666.0,29.5,34.4,0.0,0.0,1279.352,247.7113,1165.684,199.2997,977.8992,257.6388,729.1209,306.8310,392.8844,348.8038,334.1679,106.7180
1,0,67,478997.8,6197691.0,28.8,34.4,0.0,0.0,1282.254,246.7408,1175.141,191.9182,999.0571,250.7616,751.6477,309.5823,408.8353,358.8827,347.8066,106.4287
1,0,68,478997.8,6197716.0,27.9,34.4,0.0,0.0,1290.557,247.9884,1187.716,186.4298,1022.574,242.9053,779.4728,312.5866,426.1734,372.3192,356.7310,105.3553
1,0,69,478997.8,6197741.0,27.0,34.4,0.0,0.0,1298.503,250.9951,1197.894,182.6483,1040.952,236.6012,802.3321,316.2018,437.5418,383.4633,367.0470,103.1580
1,0,70,478997.8,6197766.0,26.2,34.4,0.0,0.0,1307.774,261.7396,1205.553,182.3732,1054.281,232.1160,819.2725,321.2731,442.6021,391.5490,374.6079,101.6510
1,0,71,478997.8,6197791.0,25.4,34.4,0.0,0.0,1317.699,277.4346,1210.054,185.8275,1060.648,230.0763,828.5135,325.6705,442.2509,396.0389,375.5101,102.1472
1,0,72,478997.8,6197816.0,24.6,34.4,0.0,0.0,1328.249,292.4099,1214.435,190.3801,1065.057,230.4301,832.1359,333.8418,434.4310,397.2333,376.3653,102.6293
1,0,73,478997.8,6197841.0,23.9,34.4,0.0,0.0,1335.303,298.5991,1218.384,192.5950,1069.063,230.6489,835.3417,341.0752,426.0449,398.8272,375.9769,102.3624
1,0,74,478997.8,6197866.0,23.3,34.4,0.0,0.0,1339.616,301.5664,1221.396,193.5732,1072.534,230.5788,837.7771,346.8674,419.2556,400.2709,374.4825,101.4704
1,0,75,478997.8,6197891.0,23.0,34.4,0.0,0.0,1341.993,302.2434,1223.561,193.8143,1075.162,230.3020,839.2691,352.3135,413.6374,400.4047,370.1253,99.80005
1,0,76,478997.8,6197916.0,23.0,34.4,0.0,0.0,1337.974,298.4167,1221.610,192.2144,1074.201,229.3278,838.1693,352.7850,412.4216,399.3690,364.6511,97.50955
1,0,77,478997.8,6197941.0,23.3,34.4,0.0,0.0,1326.524,286.6071,1215.642,188.0006,1069.571,227.5316,834.0030,348.9660,415.1716,396.9822,359.2922,95.24905
1,0,78,478997.8,6197966.0,24.1,34.4,0.0,0.0,1309.986,270.7246,1205.740,182.6946,1060.513,225.4658,827.5045,340.3544,420.4931,394.1949,352.8694,92.47113
1,0,79,478997.8,6197991.0,25.1,34.4,0.0,0.0,1289.308,253.9238,1192.365,176.4585,1048.156,223.3091,819.4335,328.4322,426.0108,391.4920,347.6803,90.95731
1,0,80,478997.8,6198016.0,26.1,34.4,0.0,0.0,1272.997,240.2814,1180.512,172.6791,1035.291,223.7030,807.6755,318.4580,428.2425,386.7347,345.1138,90.13498
1,0,81,478997.8,6198041.0,27.1,34.4,0.0,0.0,1261.138,228.2404,1170.573,171.6114,1020.897,227.4586,790.1085,310.4267,427.2198,378.4149,343.6051,90.66142
1,0,82,478997.8,6198066.0,28.0,34.4,0.0,0.0,1257.002,223.3676,1164.645,174.8910,1007.042,233.6239,771.2571,306.1270,422.1772,368.6239,336.8307,93.19483
1,0,83,478997.8,6198091.0,28.6,34.4,0.0,0.0,1257.519,226.5676,1159.028,181.6761,991.3751,241.6664,750.3030,304.5471,410.5954,357.7676,329.8256,95.90517
1,0,84,478997.7,6198116.0,29.2,34.4,0.0,0.0,1260.851,236.0228,1155.025,189.6469,977.7424,249.4420,732.5110,304.4976,397.2052,349.3972,324.3937,97.74444
1,0,85,478997.7,6198141.0,29.6,34.4,0.0,0.0,1263.535,247.0441,1150.028,197.8561,963.2082,256.0778,716.1591,303.3553,384.6820,342.5173,319.4532,99.49268
1,0,86,478997.7,6198166.0,30.1,34.4,0.0,0.0,1270.504,260.2468,1147.186,207.3501,950.5505,262.5097,702.2912,302.4678,373.9370,337.0915,314.2656,100.0606
1,0,87,478997.7,6198191.0,30.4,34.4,0.0,0.0,1280.631,281.1154,1143.675,219.4951,936.3778,268.8665,688.3984,300.5569,364.2913,331.5759,309.5052,100.9612
1,0,88,478997.7,6198216.0,30.7,34.4,0.0,0.0,1293.061,309.2925,1140.187,233.4396,922.5540,274.8059,675.6855,298.4348,356.0051,326.4135,305.6020,102.7779
1,0,89,478997.7,6198241.0,30.9,34.4,0.0,0.0,1311.629,335.4105,1140.212,248.1633,912.1542,280.5304,666.4766,296.9046,350.1890,322.8233,300.7636,103.5778
1,0,90,478997.7,6198266.0,31.0,34.4,0.0,0.0,1338.181,360.5803,1145.634,263.1146,907.4998,287.0666,661.2765,297.1776,346.5839,321.1186,298.2813,104.0729
1,0,91,478997.7,6198291.0,31.0,34.4,0.0,0.0,1377.677,394.5722,1156.362,281.2949,908.3539,295.0757,659.8667,299.4330,344.7913,321.2870,298.1674,105.8988
1,0,92,478997.7,6198316.0,31.0,34.4,0.0,0.0,1440.972,440.2455,1174.990,307.1650,914.1133,306.6378,661.0787,303.8396,344.2824,322.9184,299.8758,108.0729
1,0,93,478997.7,6198341.0,31.0,34.4,0.0,0.0,1505.945,482.8549,1192.090,332.0115,919.9073,317.1024,662.8276,307.8942,344.3961,324.6823,302.5974,112.3751
1,0,94,478997.7,6198366.0,31.0,34.4,0.0,0.0,1550.205,513.1479,1203.148,348.9107,923.6639,323.9381,664.1065,310.4683,344.7028,325.8899,304.7091,115.7305
1,0,95,478997.7,6198391.0,31.0,34.4,0.0,0.0,1527.077,497.1240,1198.238,339.8415,922.5913,320.4472,664.1979,309.3504,344.8848,325.7837,303.9577,114.9635
1,0,96,478997.7,6198416.0,31.0,34.4,0.0,0.0,1471.752,458.6973,1185.573,318.4933,918.9012,312.0726,663.4261,306.4333,344.7913,324.8803,300.8140,110.4544
1,0,97,478997.7,6198441.0,31.1,34.4,0.0,0.0,1424.986,431.2605,1171.806,300.5745,913.9424,304.2724,661.6923,303.3517,344.1921,323.4734,298.2658,107.0921
1,0,98,478997.7,6198466.0,31.2,34.4,0.0,0.0,1403.161,423.1790,1162.605,293.2452,909.1459,300.3255,659.0490,301.2046,343.1032,321.7924,297.7033,106.9545
1,0,99,478997.7,6198491.0,31.4,34.4,0.0,0.0,1393.966,421.0316,1156.247,290.9189,904.8014,298.2621,656.1787,299.4676,342.1802,320.0938,297.6198,106.9143
1,0,100,478997.7,6198516.0,31.5,34.4,0.0,0.0,1391.268,420.0038,1154.909,289.4485,905.3465,297.0428,657.0392,299.1481,343.2660,320.3141,298.7818,107.5786
1,0,101,478997.7,6198541.0,31.4,34.4,0.0,0.0,1397.626,420.2903,1162.362,288.2758,914.8033,297.5867,664.0937,301.8659,347.0162,323.6955,301.8919,108.6499
1,0,102,478997.7,6198566.0,31.2,34.4,0.0,0.0,1405.968,420.6803,1172.567,286.6158,927.1096,298.8423,672.8947,305.5592,351.5466,327.9524,307.1433,109.5263
1,0,103,478997.7,6198591.0,31.0,34.4,0.0,0.0,1410.082,419.3264,1179.316,284.0707,936.8459,298.8944,680.1607,308.1825,355.5447,331.3969,309.1175,109.1021
1,0,104,478997.7,6198616.0,31.1,34.4,0.0,0.0,1410.402,417.8608,1181.302,282.5642,940.6302,298.2274,683.4078,308.8571,357.7769,332.7762,306.7758,107.7557
1,0,105,478997.7,6198641.0,31.3,34.4,0.0,0.0,1400.931,412.5065,1176.849,280.0616,936.4567,297.1646,680.1133,307.3721,356.6285,330.7198,304.3231,106.6518
1,0,106,478997.7,6198666.0,31.9,34.4,0.0,0.0,1369.996,389.1734,1162.197,272.0066,921.7708,293.1732,669.4830,302.1234,352.3578,324.7676,300.6530,105.3874
1,0,107,478997.7,6198691.0,32.6,34.4,0.0,0.0,1321.308,341.0257,1138.882,258.3892,898.2130,285.3626,653.7734,292.8875,346.6254,316.2462,291.6456,101.7822
1,0,108,478997.7,6198716.0,33.5,34.4,0.0,0.0,1269.542,288.4060,1110.405,244.3512,869.8118,275.8628,635.2007,281.7261,339.7330,306.3850,279.6634,96.78573
1,0,109,478997.7,6198741.0,34.4,34.4,0.0,0.0,1229.425,254.0674,1084.489,235.6189,843.3768,268.3611,617.4496,271.8154,332.7099,297.1890,272.7524,94.42638
1,0,110,478997.7,6198766.0,35.2,34.4,0.0,0.0,1208.359,238.2484,1068.479,232.6480,826.2539,264.5021,605.3859,265.6651,327.6987,291.1288,270.2424,93.78972
1,0,111,478997.7,6198791.0,35.6,34.4,0.0,0.0,1199.432,232.5889,1060.639,232.2173,817.4451,262.8533,598.9744,262.8172,324.9527,287.8535,270.8829,94.32388
1,0,112,478997.7,6198816.0,35.7,34.4,0.0,0.0,1201.456,232.6451,1062.443,233.0233,818.0988,263.5636,599.1639,263.2358,325.1453,287.8693,274.7520,96.17732
1,0,113,478997.7,6198841.0,35.3,34.4,0.0,0.0,1213.955,237.5190,1073.541,234.7019,828.1248,266.4105,606.0003,266.9774,328.0191,291.1983,280.2323,98.69156
1,0,114,478997.7,6198866.0,34.7,34.4,0.0,0.0,1231.617,246.6619,1089.473,236.7536,843.5672,270.1633,617.0663,272.6004,332.4717,296.6256,286.8440,101.8822
1,0,115,478997.7,6198891.0,33.8,34.4,0.0,0.0,1255.237,260.6143,1110.249,239.0402,865.1537,275.0735,632.0905,280.3256,338.4933,304.2021,292.6710,104.2028
1,0,116,478997.7,6198916.0,33.0,34.4,0.0,0.0,1278.614,278.0192,1129.667,241.6022,886.2279,279.8382,646.4784,287.9227,344.2289,311.5894,298.5501,105.7679
1,0,117,478997.7,6198941.0,32.3,34.4,0.0,0.0,1297.346,297.6906,1142.840,244.4681,901.9523,283.3446,656.9668,293.7760,348.0356,317.1305,302.2235,106.2659
1,0,118,478997.7,6198966.0,32.0,34.4,0.0,0.0,1308.349,315.5258,1147.211,247.2869,909.4062,284.5908,662.0901,296.6553,349.4232,320.0482,301.2292,105.3834
1,0,119,478997.7,6198991.0,31.9,34.4,0.0,0.0,1309.413,325.0987,1144.855,248.8670,908.3247,284.4963,661.2776,296.4891,348.4268,320.0039,300.6913,105.0404
1,0,120,478997.7,6199016.0,31.9,34.4,0.0,0.0,1302.985,319.9561,1140.189,247.5200,903.7429,283.3554,658.0662,295.0838,346.3927,318.6486,298.3570,103.8671
1,0,121,478997.7,6199041.0,32.1,34.4,0.0,0.0,1291.434,307.9201,1132.283,245.6050,894.2920,281.3242,651.9047,291.8985,343.3111,315.7099,294.0224,102.0418
1,0,122,478997.7,6199066.0,32.3,34.4,0.0,0.0,1278.950,299.0748,1122.548,244.8815,882.2928,279.3157,643.8669,288.0017,339.3369,311.8110,289.0415,100.5197
1,0,123,478997.7,6199091.0,32.7,34.4,0.0,0.0,1266.887,293.7855,1111.339,245.5029,868.5372,277.1692,634.7791,283.5380,334.8790,307.4064,284.7554,99.63401
1,0,124,478997.7,6199116.0,33.0,34.4,0.0,0.0,1257.025,286.0631,1102.862,245.2417,858.1427,275.3748,627.8143,280.2298,331.1890,304.1214,281.3287,98.61870
1,0,125,478997.7,6199141.0,33.3,34.4,0.0,0.0,1248.006,277.3967,1095.933,243.9048,850.3924,273.6642,622.5327,277.7571,328.2017,301.6841,278.9435,97.55971
1,0,126,478997.7,6199166.0,33.6,34.4,0.0,0.0,1237.273,269.8288,1088.602,241.3792,843.6475,271.7528,617.6690,275.6060,325.4524,299.3667,279.3254,97.72694
1,0,127,478997.7,6199191.0,33.7,34.4,0.0,0.0,1230.599,263.5716,1084.930,238.4864,841.7543,270.2841,616.3042,274.9310,324.4415,298.6960,281.1938,98.58346
1,0,128,478997.7,6199216.0,33.4,34.4,0.0,0.0,1234.305,261.0635,1089.839,236.9036,847.8917,270.8971,620.4971,276.9600,326.1865,300.7127,285.4210,100.1354
1,0,129,478997.7,6199241.0,32.9,34.4,0.0,0.0,1244.501,264.1586,1100.840,236.2934,860.2133,272.7818,629.3646,280.8314,330.5818,304.9326,292.5398,103.1814
1,0,130,478997.7,6199266.0,32.1,34.4,0.0,0.0,1260.148,270.6405,1116.836,235.4902,879.3989,275.0062,643.5224,286.5945,337.8750,311.7141,299.0637,105.9922
1,0,131,478997.7,6199291.0,31.2,34.4,0.0,0.0,1279.978,278.2539,1135.510,234.4218,903.0263,277.0002,661.2004,293.5426,347.1006,320.2125,305.0855,107.0784
1,0,132,478997.7,6199316.0,30.4,34.4,0.0,0.0,1296.398,288.9123,1151.564,232.2271,926.5161,277.8553,678.8071,300.3288,356.4011,328.6025,313.4773,108.2811
1,0,133,478997.7,6199341.0,29.7,34.4,0.0,0.0,1307.416,300.0652,1162.663,229.3423,946.7757,276.6085,695.0562,305.6055,365.5058,336.2819,321.0880,109.2453
