 "LINE" "FID" "EAST" "NORTH" "TER" "ALT" "PITCH" "MAG" EM1_X01 EM1_X02 EM1_X03 EM1_X04 EM1_X05 EM1_X06 EM1_X07 EM1_X08 EM1_X09 EM1_X10 EM1_Z01 EM1_Z02 EM1_Z03 EM1_Z04 EM1_Z05 EM1_Z06 EM1_Z07 EM1_Z08 EM1_Z09 EM1_Z10
 1 11250 416 734925.38 7172628.0 570.1032868490738 92.5774701132479 0.0 54783.32 227113.0 115804.0 44371.0 10730.0 958.0 -413.0 -327.0 -144.0 -85.0 0.0 241135.0 143726.0 65534.0 22292.0 5918.0 1480.0 457.0 184.0 79.0 0.0
 1 11250 417 734925.44 7172614.5 570.3639140977351 92.96636020477459 0.0 54780.93 231129.0 120951.0 47850.0 12259.0 1286.0 -377.0 -328.0 -141.0 -87.0 0.0 244556.0 148693.0 69235.0 23261.0 6084.0 1485.0 462.0 183.0 87.0 0.0
 1 11250 418 734925.5 7172601.0 570.6217982277371 93.35705498817929 0.0 54778.37 234263.0 125317.0 51056.0 13821.0 1655.0 -325.0 -322.0 -136.0 -85.0 0.0 247886.0 153895.0 73117.0 24408.0 6281.0 1491.0 467.0 183.0 95.0 0.0
 1 11250 419 734925.56 7172587.5 570.8643941143367 93.7505232937287 0.0 54775.89 236712.0 128996.0 54009.0 15373.0 2053.0 -261.0 -309.0 -127.0 -77.0 0.0 251107.0 159247.0 77125.0 25733.0 6514.0 1499.0 471.0 182.0 101.0 0.0
 1 11250 420 734925.56 7172573.5 571.0863544360949 94.14236071635264 0.0 54773.74 238630.0 132096.0 56718.0 16872.0 2465.0 -186.0 -291.0 -114.0 -62.0 0.0 254184.0 164649.0 81238.0 27245.0 6792.0 1511.0 474.0 180.0 105.0 0.0
 1 11250 421 734925.56 7172559.5 571.2929272434138 94.52262385044278 0.0 54771.95 240117.0 134687.0 59165.0 18269.0 2876.0 -104.0 -269.0 -95.0 -39.0 0.0 257084.0 170011.0 85453.0 28964.0 7128.0 1527.0 476.0 178.0 106.0 0.0
 1 11250 422 734925.56 7172545.5 571.5022927747046 94.8805667813549 0.0 54770.57 241216.0 136778.0 61297.0 19516.0 3271.0 -16.0 -240.0 -71.0 -9.0 0.0 259778.0 175263.0 89771.0 30906.0 7531.0 1549.0 477.0 173.0 105.0 0.0
 1 11250 423 734925.56 7172531.5 571.705590121239 95.2090516624697 0.0 54769.43 241930.0 138322.0 63033.0 20564.0 3636.0 76.0 -207.0 -42.0 23.0 0.0 262243.0 180344.0 94175.0 33067.0 8003.0 1579.0 477.0 166.0 99.0 0.0
 1 11250 424 734925.56 7172517.5 571.893958203114 95.50285574531365 0.0 54768.52 242237.0 139255.0 64279.0 21370.0 3955.0 171.0 -167.0 -11.0 53.0 0.0 264458.0 185179.0 98612.0 35410.0 8533.0 1617.0 474.0 156.0 89.0 0.0
 1 11250 425 734925.56 7172503.5 572.0585359404249 95.7510317424767 0.0 54767.8 242117.0 139528.0 64951.0 21895.0 4217.0 267.0 -122.0 20.0 79.0 0.0 266398.0 189669.0 102984.0 37854.0 9103.0 1660.0 470.0 145.0 74.0 0.0
 1 11250 426 734925.56 7172489.5 572.1904622532691 95.9307835357984 0.0 54767.07 241589.0 139142.0 64999.0 22116.0 4412.0 361.0 -72.0 47.0 98.0 0.0 268038.0 193683.0 107144.0 40287.0 9686.0 1709.0 465.0 132.0 53.0 0.0
 1 11250 427 734925.5 7172475.5 572.2804716923664 96.01207174076227 0.0 54766.56 240712.0 138155.0 64425.0 22023.0 4537.0 449.0 -22.0 69.0 109.0 0.0 269356.0 197081.0 110917.0 42584.0 10258.0 1762.0 458.0 118.0 28.0 0.0
 1 11250 428 734925.44 7172461.5 572.2961415711486 95.97315287870128 0.0 54766.06 239591.0 136681.0 63290.0 21632.0 4595.0 527.0 25.0 86.0 114.0 0.0 270332.0 199739.0 114126.0 44628.0 10797.0 1816.0 452.0 103.0 0.0 0.0
 1 11250 429 734925.38 7172447.5 572.216275496697 95.81779104129116 0.0 54765.71 238344.0 134880.0 61718.0 20985.0 4594.0 591.0 65.0 97.0 115.0 0.0 270940.0 201577.0 116621.0 46326.0 11285.0 1873.0 447.0 90.0 -25.0 0.0
 1 11250 430 734925.25 7172433.5 572.0809036435325 95.58079296720165 0.0 54765.62 237087.0 132931.0 59885.0 20154.0 4546.0 642.0 95.0 105.0 113.0 0.0 271114.0 202543.0 118300.0 47622.0 11708.0 1932.0 444.0 77.0 -47.0 0.0
 1 11250 431 734925.19 7172419.5 571.9316476565921 95.3157515021178 0.0 54765.8 235922.0 131019.0 57993.0 19236.0 4464.0 679.0 115.0 111.0 110.0 0.0 270715.0 202589.0 119115.0 48492.0 12056.0 1993.0 444.0 67.0 -64.0 0.0
 1 11250 432 734925.13 7172405.5 571.8091390417038 95.07119699700017 0.0 54765.95 234942.0 129314.0 56249.0 18340.0 4361.0 708.0 126.0 117.0 106.0 0.0 269526.0 201643.0 119057.0 48942.0 12326.0 2056.0 449.0 60.0 -74.0 0.0
 1 11250 433 734925.06 7172391.5 571.75431502709 94.8707627781182 0.0 54766.22 234242.0 127975.0 54832.0 17561.0 4253.0 731.0 131.0 121.0 103.0 0.0 267299.0 199617.0 118155.0 48997.0 12521.0 2123.0 459.0 57.0 -78.0 0.0
 1 11250 434 734925.0 7172377.5 571.807979526035 94.71075104250602 0.0 54766.59 233932.0 127161.0 53883.0 16966.0 4150.0 751.0 132.0 126.0 101.0 0.0 263854.0 196475.0 116477.0 48698.0 12648.0 2192.0 475.0 60.0 -78.0 0.0
 1 11250 435 734924.94 7172363.5 572.0166698562854 94.57369570699534 0.0 54767.17 234132.0 127032.0 53501.0 16591.0 4064.0 771.0 130.0 130.0 100.0 0.0 259212.0 192319.0 114156.0 48104.0 12721.0 2265.0 496.0 67.0 -73.0 0.0
 1 11250 436 734924.88 7172349.5 572.3879194218043 94.44343436377956 0.0 54767.93 234958.0 127744.0 53750.0 16446.0 4001.0 792.0 128.0 135.0 100.0 0.0 253680.0 187453.0 111405.0 47298.0 12752.0 2343.0 525.0 81.0 -64.0 0.0
 1 11250 437 734924.81 7172335.5 572.864115846131 94.3085918315232 0.0 54768.72 236481.0 129406.0 54653.0 16527.0 3968.0 813.0 126.0 139.0 102.0 0.0 247836.0 182381.0 108513.0 46380.0 12756.0 2427.0 561.0 99.0 -52.0 0.0
 1 11250 438 734924.81 7172321.5 573.3848537084984 94.15536893331885 0.0 54769.67 238685.0 132020.0 56185.0 16825.0 3965.0 834.0 124.0 143.0 105.0 0.0 242412.0 177718.0 105807.0 45460.0 12747.0 2519.0 604.0 122.0 -36.0 0.0
 1 11250 439 734924.81 7172307.5 573.8905139004027 93.96380611869878 0.0 54770.78 241428.0 135423.0 58242.0 17314.0 3989.0 855.0 122.0 147.0 109.0 0.0 238109.0 174060.0 103598.0 44643.0 12736.0 2620.0 655.0 149.0 -18.0 0.0
 1 11250 440 734924.81 7172293.5 574.321132763198 93.71905462930113 0.0 54772.19 244435.0 139270.0 60632.0 17950.0 4034.0 874.0 121.0 151.0 115.0 0.0 235446.0 171856.0 102126.0 44009.0 12734.0 2730.0 711.0 178.0 2.0 0.0
 1 11250 441 734924.81 7172279.5 574.6167466382354 93.43297996589045 0.0 54773.58 247328.0 143073.0 63082.0 18659.0 4091.0 891.0 120.0 156.0 120.0 0.0 234683.0 171341.0 101535.0 43611.0 12749.0 2852.0 773.0 209.0 24.0 0.0
 1 11250 442 734924.81 7172265.5 574.7104657542131 93.15682565690595 0.0 54774.97 249680.0 146303.0 65272.0 19344.0 4150.0 903.0 120.0 160.0 127.0 0.0 235817.0 172514.0 101860.0 43476.0 12794.0 2985.0 839.0 243.0 47.0 0.0
 1 11250 443 734924.88 7172251.5 574.5711052722055 92.96868937485831 0.0 54776.36 251089.0 148488.0 66891.0 19897.0 4201.0 911.0 120.0 164.0 133.0 0.0 238618.0 175160.0 103036.0 43606.0 12878.0 3131.0 909.0 280.0 70.0 0.0
 1 11250 444 734924.94 7172237.5 574.2785830834795 92.93815602029129 0.0 54777.76 251250.0 149303.0 67691.0 20217.0 4234.0 915.0 120.0 168.0 140.0 0.0 242666.0 178879.0 104897.0 43976.0 13013.0 3293.0 987.0 321.0 95.0 0.0
 1 11250 445 734925.0 7172224.0 573.9339878874305 93.09013361317166 0.0 54779.09 250006.0 148602.0 67527.0 20231.0 4244.0 914.0 121.0 172.0 146.0 0.0 247389.0 183137.0 107180.0 44531.0 13205.0 3472.0 1072.0 369.0 120.0 0.0
 1 11250 446 734925.06 7172210.5 573.6080959404985 93.39219717051917 0.0 54780.38 247374.0 146409.0 66377.0 19906.0 4228.0 910.0 123.0 176.0 152.0 0.0 252127.0 187334.0 109543.0 45178.0 13450.0 3669.0 1169.0 425.0 146.0 0.0
 1 11250 447 734925.13 7172197.0 573.3800393119784 93.77184438474954 0.0 54781.64 243515.0 142889.0 64330.0 19255.0 4184.0 906.0 127.0 180.0 158.0 0.0 256229.0 190891.0 111607.0 45794.0 13732.0 3883.0 1279.0 489.0 173.0 0.0
 1 11250 448 734925.19 7172183.5 573.3288883920334 94.15174753336048 0.0 54782.87 238665.0 138297.0 61562.0 18337.0 4116.0 901.0 131.0 184.0 163.0 0.0 259163.0 193333.0 113016.0 46249.0 14027.0 4112.0 1401.0 559.0 201.0 0.0
 1 11250 449 734925.25 7172170.0 573.5332442078646 94.48268237341281 0.0 54783.9 233055.0 132911.0 58290.0 17247.0 4026.0 896.0 138.0 187.0 168.0 0.0 260591.0 194343.0 113492.0 46432.0 14309.0 4352.0 1535.0 636.0 231.0 0.0
 1 11250 450 734925.31 7172156.5 574.0199071403425 94.75753931802493 0.0 54784.77 226854.0 126985.0 54727.0 16096.0 3922.0 893.0 146.0 190.0 172.0 0.0 260381.0 193757.0 112865.0 46274.0 14559.0 4601.0 1681.0 717.0 261.0 0.0
 1 11250 451 734925.38 7172143.0 574.7208676261149 95.00428625573984 0.0 54785.61 220168.0 120715.0 51055.0 14979.0 3812.0 890.0 158.0 193.0 176.0 0.0 258563.0 191530.0 111081.0 45756.0 14771.0 4855.0 1836.0 803.0 294.0 0.0
 1 11250 452 734925.44 7172129.5 575.5577316189119 95.26406944391304 0.0 54786.5 213070.0 114233.0 47406.0 13965.0 3705.0 888.0 172.0 196.0 179.0 0.0 255272.0 187681.0 108196.0 44910.0 14946.0 5114.0 2000.0 893.0 327.0 0.0
 1 11250 453 734925.5 7172115.5 576.4854693750434 95.56238557576826 0.0 54787.52 205640.0 107643.0 43880.0 13082.0 3608.0 888.0 191.0 199.0 181.0 14.993055555555554 250694.0 182272.0 104349.0 43800.0 15090.0 5374.0 2170.0 989.0 363.0 14.993055555555554
 1 11250 454 734925.56 7172101.0 577.418520186595 95.88148552274153 0.0 54788.62 197973.0 101052.0 40564.0 12334.0 3525.0 892.0 215.0 203.0 182.0 37.72569444444444 245040.0 175407.0 99741.0 42503.0 15207.0 5630.0 2342.0 1087.0 401.0 37.72569444444444
 1 11250 455 734925.75 7172087.0 578.2041355047729 96.14819559527668 0.0 54790.05 190169.0 94602.0 37545.0 11715.0 3459.0 903.0 246.0 209.0 184.0 50.428819444444436 238527.0 167266.0 94604.0 41085.0 15298.0 5872.0 2509.0 1186.0 440.0 50.428819444444436
